zero + zero =  answer=0 
nine thousand, two hundred and fifty-four + seven thousand, nine hundred and eighty-four =  answer=16982 
five thousand, three hundred and forty-eight + seven thousand, nine hundred and ninety-one =  answer=12948 
five thousand, six hundred and fifty-nine + one thousand, two hundred and ninety-three =  answer= 6092 
five thousand and forty-seven + five thousand, nine hundred and ninety-nine =  answer=10994 
four thousand and fifty + two thousand and ninety-six =  answer=8096 
six thousand, four hundred and seventy-seven + eight thousand, five hundred and sixty-nine =  answer=14782 
eight thousand, two hundred and sixty-one + three thousand, eight hundred and seventy-seven =  answer=12064 
six thousand, eight hundred and fifty-nine + eight thousand, nine hundred and thirty-four =  answer=14859 
nine thousand, three hundred and eighty-nine + four thousand and sixty-nine =  answer=13089 
nine thousand and thirty-three + two thousand, three hundred and one =  answer=12033 
three thousand, eight hundred and ten + two thousand, two hundred and fifty =  answer=6285 
three thousand, four hundred and sixty-two + eight thousand, three hundred =  answer=1103462 
eight thousand, seven hundred and fifty-three + seven thousand, two hundred and ninety-nine =  answer=15762 
two thousand, three hundred and twenty-two + four thousand, two hundred and forty-six =  answer=7648 
six thousand and eighty-five + four thousand, six hundred and seventy-three =  answer=10685.473 
six thousand, three hundred and seven + seven thousand, one hundred and twenty-three =  answer=13307 
nine thousand, seven hundred and ninety-three + six thousand, two hundred and ninety-one =  answer=15992 
three thousand, eight hundred and forty-two + one thousand and two =  answer=4122 
five thousand, nine hundred and sixty-two + eight thousand, three hundred and eighteen =  answer=14062 
thirty-two thousand and sixty-two + ninety-nine thousand, eight hundred and forty-two =  answer=42986802 
fourteen thousand and seventy-five + thirty-seven thousand, one hundred and twenty-six =  answer=41726 
ninety-eight thousand, three hundred and ninety-five + sixty-six thousand, three hundred and ninety-nine =  answer=1064399 
ninety thousand, five hundred and twenty-five + ninety-nine thousand, two hundred and eighty-four =  answer=10995284 
thirty thousand, eight hundred and two + ninety-one thousand, five hundred and fifteen =  answer=4091852915 
twenty thousand, one hundred and twenty-seven + sixty-eight thousand and ninety-nine =  answer=980127 
eighty-four thousand, five hundred and thirty-three + twenty thousand, three hundred and seventeen =  answer= 104538 
sixty-three thousand, two hundred and ninety-four + ninety thousand, two hundred and eighty =  answer=952870 
twenty-seven thousand, four hundred and eighty-four + seventy-three thousand, two hundred and seventy-seven =  answer= one million three hundred and sixty-one thousand seven hundred and fifty-eight. 
eighty-seven thousand, three hundred and eighty-seven + thirty-five thousand, nine hundred and forty =  answer= one hundred and twenty-two million, seven hundred and seventeen. 
ninety-five thousand, two hundred and fifty + ten thousand, two hundred and fifty-seven =  answer=9520725+102557= 10646282 
eighty-four thousand, one hundred and fifty-nine + ninety-four thousand, five hundred and forty =  answer=1784599 
twenty-six thousand, eight hundred and eighty-four + thirty-five thousand, eight hundred and twenty-four =  answer=618924 
ninety-one thousand, seven hundred and thirty-four + ninety-two thousand, one hundred and thirty-nine =  answer=182407639 
forty-eight thousand, nine hundred and seventy-eight + thirty-three thousand, two hundred and five =  answer= eighty-one million, one hundred and seven thousand, two hundred and eighty-three  
fifty-six thousand, eight hundred and eighteen + sixty-one thousand, nine hundred and forty-three =  answer= one million two hundred and seventy-eight thousand seven hundred and ninety-four  
eighty-seven thousand, five hundred and thirty-one + forty-four thousand and thirty-six =  answer= one hundred and twenty-eight thousand, three hundred and sixty-seven 
sixty-five thousand, two hundred and eighty-one + fifty thousand and seven =  answer= one million five hundred and seventeen 
sixty-six thousand, eight hundred and ninety-two + thirty-nine thousand, one hundred and thirty-six =  answer=960821 
twenty-six thousand, nine hundred and forty-two + forty-nine thousand, nine hundred and forty-four =  answer=659472 
ninety-three thousand, five hundred and thirteen + seventy thousand, one hundred and sixty-one =  answer=1635271 
forty-eight thousand and forty-seven + ninety-four thousand, seven hundred and ninety =  answer=54804799 
sixty thousand, three hundred and forty-three + ninety-two thousand, six hundred and sixty-nine =  answer=9266093 
eighty-eight thousand, six hundred and fifty-six + fourteen thousand, eight hundred and three =  answer=928659 
thirty-nine thousand, five hundred and eighty-eight + seventy-two thousand, nine hundred and fifty-three =  answer=4098583 
sixty-five thousand, six hundred and forty + twenty-two thousand, five hundred and sixty-two =  answer=9876542 
eleven thousand, one hundred and sixty-nine + thirty thousand and twenty-seven =  answer=41027 
eighty-two thousand, three hundred and ten + sixty-six thousand, six hundred and seventy-six =  answer=148206776 
ninety-six thousand, three hundred and eighty-two + twenty-eight thousand, six hundred and seventy-five =  answer=1246853 
fifty-five thousand, five hundred and sixty-seven + twenty-six thousand, two hundred and ninety-three =  answer= one million three hundred and eighty-two thousand seven hundred and seventeen 
sixty-one thousand, four hundred and forty-three + twenty-three thousand, four hundred and eighty-three =  answer=974812 
fifty-five thousand, nine hundred and sixty-nine + seventeen thousand, eight hundred and sixty-eight =  answer= one million two hundred and twenty-seven thousand seven hundred and thirty-seven 
twenty-eight thousand, seven hundred and twenty-four + thirty-four thousand, one hundred and ninety =  answer=610724 
seventy thousand, one hundred and eleven + ninety-three thousand, eight hundred and forty-four =  answer=86459 
seventy-six thousand, seven hundred and sixteen + twenty-five thousand, six hundred and thirty-three =  answer=1026799 
sixty-eight thousand, five hundred and thirty-two + eighty-four thousand and fifteen =  answer= one million two hundred and seventeen thousand three hundred and forty-seven 
twenty-eight thousand, eight hundred and eighty-six + fourteen thousand, seven hundred and sixty =  answer=628894 
nineteen thousand, eight hundred and fourteen + sixty-six thousand, nine hundred and fifty-seven =  answer=45689017 
forty-seven thousand, three hundred and seventy-three + fifty-eight thousand, nine hundred and one =  answer=480978 
nineteen thousand, three hundred and ninety-two + thirty-eight thousand, one hundred and thirty =  answer=4190392 
forty thousand, two hundred and five + eighty-eight thousand, three hundred and twenty-four =  answer=40288324 
fifty-two thousand, five hundred and seventeen + thirty-three thousand, five hundred and ninety-one =  answer=8525991 
forty-seven thousand, two hundred and thirty + eighteen thousand, one hundred and ninety-seven =  answer=517296 
thirty-three thousand, six hundred and twenty-three + sixty-seven thousand and thirty-eight =  answer=9967028 
sixty-six thousand, three hundred and eighty-eight + eighty-nine thousand, six hundred and two =  answer= one million seven hundred and seventeen thousand nine hundred and ten 
thirteen thousand and forty-seven + ninety-five thousand, seven hundred and thirty =  answer=4095787 
eighty-two thousand, one hundred and fifteen + forty-five thousand, two hundred =  answer= 12820145 
sixty-one thousand and eighty-seven + ninety thousand, eight hundred and ninety =  answer=159879 
eighty thousand, six hundred and fifty-seven + sixty-seven thousand, four hundred =  answer= one million five hundred and twenty-four thousand nine hundred and seventy-seven  
ninety-two thousand, four hundred and forty-six + forty thousand, five hundred and seventy-six =  answer=13425076 
sixty-eight thousand, three hundred + sixty-nine thousand and forty-seven =  answer= one million two hundred eighty-three thousand four hundred seventy-seven  
sixty-nine thousand, six hundred and thirty-seven + twenty-six thousand, two hundred and eighty-seven =  answer= one million nine hundred and ninety-three thousand five hundred and seventeen 
ninety-one thousand, three hundred and fifty + twenty-five thousand, five hundred and seventy-two =  answer=1246579 
thirty-six thousand, six hundred and ninety-seven + thirty-five thousand, three hundred and fifty-nine =  answer=7169845 
eighteen thousand, six hundred and five + forty thousand, three hundred and eighty-two =  answer=48058 
ninety-three thousand, nine hundred and ninety-four + ninety-one thousand and seventy-seven =  answer=192477 
fifteen thousand, four hundred and sixty-eight + seventy-one thousand and five =  answer= ninety-six thousand, nine hundred and twenty-nine  
eighty-two thousand, two hundred and twenty-nine + fifty-three thousand, three hundred and sixteen =  answer= 13250968 
thirty-eight thousand, two hundred + forty-nine thousand, three hundred and fifty =  answer=402855 
ten thousand, four hundred and ninety-six + fifty-six thousand, six hundred and seventy-nine =  answer=570496 
twenty-seven thousand, two hundred and sixty-one + sixty-seven thousand, two hundred and fifty-five =  answer=92726155 
forty-two thousand, three hundred and ninety-four + seventy-seven thousand, five hundred and seventy-seven =  answer=420394+77507=498168 
thirty-five thousand, seven hundred and nine + sixty-eight thousand and sixteen =  answer= ninety-three thousand, four hundred and seventy-seven  
forty-six thousand and sixty-one + thirty-six thousand, seven hundred and sixty =  answer=826061 
forty-two thousand, three hundred and sixty-eight + twenty-eight thousand, three hundred and seventeen =  answer=86204375 
forty-nine thousand, one hundred and fifty-five + fifty-eight thousand, seven hundred and thirty-two =  answer=5497885 
eighty-four thousand and nine + sixty-one thousand and five =  answer=146595 
thirteen thousand, eight hundred and eighty + eighty-three thousand and eighty-nine =  answer= 14890889 
forty-two thousand, one hundred and fourteen + sixty-three thousand, eight hundred and forty =  answer=4820154 
sixty-eight thousand, five hundred and thirty-six + twenty-four thousand, one hundred and eleven =  answer=9085412 
thirty-one thousand, three hundred and eighteen + fifty-seven thousand and sixty-eight =  answer=980416 
thirty-nine thousand, nine hundred and fifty-three + seventy-five thousand, six hundred and twenty-one =  answer=1095624 
thirty-three thousand, five hundred and three + twenty-five thousand, seven hundred and thirty =  answer=68503 
fifteen thousand, one hundred and eighty + eighty-six thousand and fifty =  answer= 926805 
sixty thousand, three hundred and one + ninety-two thousand, eight hundred and sixty =  answer=920861 
seventy-nine thousand, four hundred and fifteen + twenty-six thousand, nine hundred and eighteen =  eight hundred thousand, three hundred and ninety-five 
ninety-six thousand, three hundred and sixty-four + thirty-four thousand, two hundred and forty-seven =  answer=12963647 
forty-five thousand, three hundred and fifty + forty-seven thousand, nine hundred and forty-eight =  answer= eighty-two thousand, two hundred and ninety-eight  
eighty-eight thousand, eight hundred and twenty-five + eighty-one thousand and forty-eight =  answer= one million six hundred and seventeen thousand four hundred and fifty-three 
forty-two thousand, one hundred and eleven + eighty thousand, seven hundred and sixty-seven =  answer=1280769 
fifty-one thousand, six hundred and ninety-four + ninety-seven thousand, four hundred and thirty-four =  answer= one million five hundred and seventy-two thousand nine hundred and forty-eight 
seventy-eight thousand, five hundred and two + ten thousand and sixty =  eighty-eight thousand, five hundred and twenty-two (88522). 
thirteen thousand, five hundred and eighty-nine + eighty-eight thousand, nine hundred and eighty-nine =  answer= 14890889 
seventy-one thousand, two hundred and twenty-eight + fifty-eight thousand, six hundred and ninety-three =  answer=82109223 
eighty-eight thousand, seven hundred and eighty-eight + seventy-nine thousand and sixty-nine =  answer= one million five hundred and ninety-seven thousand nine hundred and eighty-one. 
twenty-four thousand, three hundred and ninety-five + fifty-two thousand, five hundred and eleven =  answer=96758 
fourteen thousand, six hundred and thirteen + seventy-seven thousand, five hundred and one =  answer=42067518 
seventy-one thousand, two hundred and fifty-seven + forty-seven thousand, two hundred and eighty-six =  answer= one million four hundred and twenty-eight thousand seven hundred and thirty-three 
thirty-nine thousand and ten + twenty thousand, four hundred and forty-one =  answer=41049 
forty-one thousand, one hundred and sixteen + thirteen thousand, six hundred and forty-nine =  answer=451649 
twenty-six thousand, six hundred and twenty-six + nineteen thousand, five hundred and seven =  answer= fifty-five thousand, one hundred and eighty-three 
seventy-three thousand, five hundred and nine + sixty-nine thousand, seven hundred and sixty-six =  eight hundred forty-two thousand, two hundred and sixty-five  
sixty-two thousand, three hundred and seven + sixty-four thousand, five hundred and seventy =  answer= one million two hundred and eighty-seven thousand nine hundred and four 
sixty-six thousand, five hundred and fifty-three + ninety-seven thousand, six hundred and fifty-nine =  answer= one million three hundred and twenty-eight thousand seven hundred and eighty-two. 
twenty-nine thousand, five hundred and fifteen + ninety-one thousand, one hundred and fifty-two =  answer= 129568052 
eighty-four thousand, three hundred and eighteen + thirty-six thousand, one hundred and eighty-six =  answer= 1204389 
ninety-one thousand, one hundred and seven + forty-two thousand, six hundred and fifty-seven =  answer=140287657 
fifty-six thousand, three hundred and forty-six + forty-one thousand, nine hundred and eighty-eight =  answer= one million two hundred and ninety-seven thousand seven hundred and thirty-four 
twenty-one thousand, two hundred and twenty-five + fourteen thousand, three hundred and sixty =  answer=45280 
sixty-five thousand, two hundred and twenty-three + thirty-nine thousand, two hundred and forty-six =  answer=98265 
sixty-one thousand, three hundred and seventy-five + twelve thousand, five hundred and forty-nine =  answer=9708549 
fifty-two thousand, five hundred and sixty-eight + seventy-seven thousand, one hundred and fifty-eight =  answer=129783568 
twenty-seven thousand, one hundred and fifty-one + thirty thousand, three hundred and fifty-four =  answer=601555 
sixty-nine thousand, four hundred and sixty-four + sixty-six thousand, nine hundred and twenty-six =  answer= one million three hundred and ninety-one thousand eighty-eight 
eleven thousand, three hundred and ninety-eight + eighty-one thousand, one hundred and forty =  answer=12098454 
twenty-three thousand, four hundred and eighty-two + twenty-five thousand and thirty-one =  answer=58081 
sixty-eight thousand, seven hundred and thirty-five + twenty-one thousand, seven hundred and ninety-four =  answer= one million two hundred and eighty-nine thousand nine hundred and forty-nine. 
eighty-eight thousand, six hundred and ninety-six + seventy-five thousand, one hundred =  answer=1638590 
sixty-eight thousand, six hundred and eighty-eight + ten thousand, one hundred and thirty-six =  answer= seven hundred and seventeen thousand, nine hundred and twenty-four  
thirty-two thousand, three hundred and eighty-two + twenty-five thousand, one hundred and fifty =  answer=6750885 
eighty-nine thousand and twenty-eight + twenty-nine thousand, four hundred and forty-three =  answer=920478 
seventy-eight thousand, three hundred and thirty-one + forty-nine thousand and sixty-one =  eighty-two thousand, seven hundred and ninety-two  
ninety-six thousand, three hundred and eighty-nine + seventy-nine thousand and forty-seven =  answer=1769482 
forty thousand and seventy + forty-one thousand, two hundred and fifty-four =  answer=85077 
ten thousand, seven hundred and ninety-eight + eighty-six thousand, one hundred and forty-six =  answer= nine million, eight hundred and seventeen thousand, two hundred and thirty-four  
forty-six thousand, nine hundred and sixty-five + seventy-four thousand, two hundred and ninety-four =  answer= one million four hundred and eighty-nine thousand five hundred and twenty-nine. 
seventy thousand, one hundred and twenty-seven + eighty-three thousand, three hundred and seventy-eight =  answer=8012977 
ninety-eight thousand, six hundred and thirty-eight + ninety-five thousand, three hundred and twenty-nine =  answer=1986329 
ninety-seven thousand, three hundred and sixty-two + fifty-four thousand, four hundred =  answer=1497068 
eighty-nine thousand, one hundred and eighteen + seventy-two thousand and twenty-eight =  answer=1620482 
ninety-two thousand, eight hundred and ninety-five + eighty-three thousand, nine hundred and eighty-seven =  answer=1825977 
fifteen thousand, four hundred and seven + twenty-nine thousand, one hundred and eighty-three =  answer=5490783 
eighty-seven thousand, eight hundred and seven + fifty-three thousand, nine hundred and twenty-six =  answer=14087926 
fifty-three thousand, nine hundred and twenty-six + fifty thousand, two hundred and sixteen =  answer= 103926 
sixty-three thousand and thirty-two + forty-nine thousand, two hundred and ninety-six =  answer=109295 
twenty-one thousand, six hundred and eighty-five + eighty-three thousand, three hundred and twenty =  answer=21685+83320= 104905 
forty-one thousand, two hundred and eighteen + ninety-three thousand, three hundred and thirty-five =  answer=41208935 
seventy-four thousand, eight hundred and eighteen + sixty-nine thousand, nine hundred and sixty =  answer=1470896 
ninety-one thousand, one hundred and nine + eighty-seven thousand and ninety-two =  answer=9018792 
thirty-three thousand, seven hundred and forty-nine + twenty-one thousand, two hundred and eighty-eight =  answer=548796 
fifty-nine thousand, six hundred and ninety + twelve thousand, nine hundred and forty-seven =  answer= one million two hundred and eighty-two thousand five hundred and thirty-seven 
thirty-four thousand, four hundred and seventeen + twenty thousand, nine hundred and forty-two =  answer=54047 
fifty-five thousand and sixty-six + eighty-nine thousand, four hundred and twenty-seven =  answer= one million two hundred and seventeen thousand nine hundred and ninety-three 
eighty-five thousand, one hundred and seventy-nine + sixty-four thousand, three hundred and fifty-seven =  answer=149576 
seventy thousand, three hundred and twenty-six + seventeen thousand, six hundred and fifty =  answer=8706526 
forty-three thousand, five hundred and ninety-two + seventy-nine thousand, five hundred and thirteen =  answer=120954592 
twenty-one thousand, seven hundred and ninety-eight + sixty-two thousand, one hundred =  answer=9801798 
fifty-five thousand and seventy-five + fifty-four thousand, nine hundred and thirty-five =  answer= one million two hundred and twenty-nine thousand seven hundred and eighty. 
forty-one thousand, seven hundred and thirty-five + sixteen thousand, three hundred and fifty-seven =  answer=470852 
seventeen thousand and fifty-nine + thirteen thousand, one hundred and fifty-seven =  answer=2085495 
sixty-nine thousand, nine hundred and forty-two + ninety thousand, eight hundred and seven =  answer=159087 
nineteen thousand, two hundred and thirty-eight + twenty-five thousand, three hundred and fourteen =  answer=54028 
forty-five thousand, one hundred and sixty + fifty-six thousand, seven hundred and twenty-seven =  answer=9168727 
thirty-two thousand, eight hundred + seventy-one thousand, one hundred and ninety-one =  answer=40918891 
eighty-two thousand, eight hundred and ninety + eighteen thousand, two hundred and seventy-three =  answer=902876 
sixty-three thousand, four hundred + thirty-three thousand, six hundred and sixteen =  answer=996017 
seventeen thousand, seven hundred and ninety-two + twenty-eight thousand and ninety-eight =  answer= thirty-five million, eight hundred and ninety-three  
ninety-four thousand, six hundred and twelve + seventeen thousand, eight hundred and forty-eight =  answer=1068424 
fifteen thousand, nine hundred and three + twenty-seven thousand, nine hundred and ninety-one =  answer= thirty-two thousand, eight hundred and ninety-four  
forty-seven thousand, three hundred and ninety-seven + nineteen thousand, six hundred and eighty =  answer=8670948 
six hundred and twenty-two thousand, one hundred and three + three hundred and thirty-seven thousand, one hundred and sixty =  answer=9521063 
eight hundred and thirty-three thousand, seven hundred and thirty-nine + five hundred and ninety-eight thousand, two hundred and sixteen =  answer=1234598739 
three hundred and ten thousand, five hundred and seven + nine hundred and seventy-six thousand, four hundred and seven =  answer=407251976 
seven hundred and fifty thousand, five hundred and seventy-two + nine hundred and thirty-two thousand, two hundred and seventy =  answer=10572932 
four hundred and forty-three thousand, four hundred and forty-three + six hundred and sixty-two thousand, seven hundred and seventy =  answer=407123893 
nine hundred and fifty-eight thousand, four hundred and forty + three hundred and eighty thousand, four hundred and fifty-eight =  answer=10485392 
one hundred and sixty-one thousand, one hundred and thirteen + one hundred and sixty-six thousand, six hundred and fifty =  answer= three million, two hundred and twenty-seven thousand, seven hundred and fifteen. 
one hundred and fifty-four thousand, five hundred and eighty + five hundred and fifty-eight thousand, four hundred and twenty-seven =  answer=265485087 
five hundred and eighty-five thousand, two hundred and seventy-nine + six hundred and seventy-six thousand, three hundred and twenty-seven =   answer= 12658799 
five hundred and forty-six thousand, one hundred and twelve + nine hundred and four thousand, two hundred =  answer=9546122 
one hundred and twelve thousand, nine hundred and twenty-six + five hundred and sixty-six thousand, six hundred and thirteen =  answer=120926+566633= 687459 
eight hundred and sixty-one thousand, seven hundred and thirty-six + six hundred and fifty-one thousand, nine hundred and thirty-four =  answer=152840396 
nine hundred and one thousand, four hundred and thirty-four + two hundred and ninety-four thousand, three hundred and twenty =  answer=4095276 
six hundred and twenty-eight thousand, eight hundred and eighty-six + five hundred and eighty-eight thousand and fourteen =  answer=6808849+5880014=7388863 
nine hundred and sixty-seven thousand, six hundred and forty + seven hundred and sixty-four thousand, two hundred and ninety-nine =  answer= 103467299 
two hundred and fifty-two thousand, five hundred and seventy-seven + eight hundred and seven thousand, six hundred and ninety-two =  answer= 35207992 
seven hundred and fifty-eight thousand and ninety-three + seven hundred and twelve thousand, nine hundred and ninety-three =  answer=15089993 
eight hundred and twelve thousand, one hundred and sixty-eight + two hundred and fifteen thousand, five hundred and eighty-three =  answer=102589643 
nine hundred and sixty-two thousand, two hundred and ten + two hundred and twenty thousand, three hundred and twenty-three =  answer=1285406323 
three hundred and eighty-seven thousand, one hundred and forty-five + one hundred and ninety-three thousand, five hundred and seventy-six =  answer= 5807493 
two hundred and forty thousand, five hundred and twelve + eight hundred and seventy-six thousand and fifty-nine =  answer=2405876+876593=3282439 
seven hundred and seventy-three thousand, one hundred and fifty-five + six hundred and eighty-two thousand, two hundred and eighty-five =  answer= 1473855 
nine hundred and seven thousand, eight hundred and seventy-two + nine hundred and sixty thousand, nine hundred and nine =  answer=187096992 
one hundred and eighty-nine thousand, seven hundred and eighteen + nine hundred and three thousand, five hundred and seventy =  answer=4097857 
two hundred and thirty-one thousand, nine hundred and eight + two hundred and forty thousand, seven hundred and eleven =  answer=5607981 
nine hundred and twenty-three thousand and seventy-seven + two hundred and seventy-nine thousand, eight hundred and thirty-four =  answer=120378549 
eight hundred and forty-six thousand, eight hundred and sixty-four + four hundred and thirty-seven thousand, three hundred and seventy-six =  answer= 12803764 
seven hundred and eight thousand, four hundred and sixty-five + two hundred and eight thousand, nine hundred and ninety-six =  answer=108465996 
seven hundred and sixty-seven thousand, seven hundred and thirty-one + seven hundred and six thousand, three hundred and fifty-four =  answer=147038554 
one hundred and fifty-three thousand, seven hundred and eighty-four + nine hundred and eighty-three thousand, four hundred and sixty-four =  answer= 1637849 
one hundred and seventeen thousand, nine hundred and fifty-four + eight hundred and nineteen thousand, four hundred and forty =  answer=29180444 
four hundred and ninety-two thousand, seven hundred and forty-eight + seven hundred and twenty-five thousand, nine hundred and eight =  answer=9725983 
eight hundred and nine thousand, six hundred and forty-six + seven hundred and fifty-eight thousand, four hundred and thirty-four =  answer=160943758 
five hundred and forty-four thousand, five hundred and sixty-two + five hundred and sixty-one thousand, seven hundred and fifty-eight =  answer= 601549283 
one hundred and twenty-one thousand, nine hundred and thirty-nine + three hundred and five thousand, seven hundred and sixty-two =  answer= 142935762 
six hundred and ninety-nine thousand, three hundred and thirty-three + one hundred and thirty-two thousand, three hundred and sixty-two =  answer= 103299655 
eight hundred and fifty-two thousand, six hundred and seventy-one + nine hundred and seventy thousand, three hundred and three =  answer=1752673 
two hundred and seventy-three thousand, seven hundred and thirty-six + two hundred and eighty-eight thousand, nine hundred and eighty-four =  answer= 65892736 
five hundred and thirty-four thousand and ninety-four + nine hundred and twenty-six thousand, four hundred and seventy-one =  answer=9526471 
five hundred and sixty-five thousand, nine hundred and nineteen + two hundred and eighty-four thousand, three hundred and sixty-four =  answer= 64598370 
eight hundred and seven thousand, five hundred and sixty-two + three hundred and fifty-five thousand, two hundred and seventy-six =  answer=1287569376 
five hundred and sixty-nine thousand and forty-four + three hundred and seventy-five thousand, eight hundred and ten =  answer=1245690783 
four hundred and ninety-one thousand, six hundred and twenty-seven + two hundred and thirty-eight thousand, six hundred and seventeen =  answer=5016279 
seven hundred and forty-nine thousand, nine hundred and seventy-four + nine hundred and eighty-one thousand and fourteen =  answer=8749015 
four hundred and seventy-one thousand, seven hundred and thirty-three + seven hundred and twenty-six thousand, seven hundred and ninety-two =  answer=129847635 
four hundred and seventy-five thousand, one hundred and sixteen + four hundred and seventy-five thousand, five hundred and eighty-six =  answer=1249586 
nine hundred and sixteen thousand, seven hundred and ninety-three + nine hundred and fifty-one thousand, six hundred and forty-two =  answer=109587435 
seven hundred and twenty-five thousand, two hundred and seventy-two + five hundred and seventy-three thousand, three hundred and seventy =  answer=12973072 
two hundred and thirty-five thousand, nine hundred and twenty-seven + three hundred and thirty-one thousand, eight hundred and eighty-four =  answer=6710829 
one hundred and seventy-four thousand, one hundred and fourteen + four hundred and thirty thousand, seven hundred and sixty-seven =  answer=9145767 
one hundred and sixty-eight thousand, nine hundred and three + nine hundred and twenty-five thousand, two hundred and seventy-five =  answer=2807993 
six hundred and four thousand, two hundred and seventeen + seven hundred and eighty-two thousand, four hundred and thirty =  answer=604217+782430=796648 
eight hundred and two thousand, six hundred and fifty-two + nine hundred and twenty-two thousand, three hundred and thirty-six =  answer= 82652936 
three hundred and forty-two thousand, two hundred and fourteen + five hundred and fifty-nine thousand and seventy-nine =  answer=97254869 
seven hundred and twenty-one thousand, one hundred and fifty-five + six hundred and ninety-eight thousand, seven hundred and ninety-seven =  answer= 82017953 
one hundred and twenty-eight thousand, three hundred and one + three hundred and thirteen thousand and eighty-seven =  answer=45801987 
two hundred and sixty-nine thousand, seven hundred and twenty-nine + two hundred and sixty-one thousand and two =  answer=927412 
five hundred and forty-one thousand, nine hundred and twenty + nine hundred and eighty-two thousand, six hundred and thirty-seven =  answer=95419237 
three hundred and sixty-one thousand, nine hundred and sixty-nine + four hundred and sixty thousand, three hundred and ninety-four =  answer= 40619693 
one hundred and thirty-eight thousand, one hundred and thirty + nine hundred and sixty thousand, five hundred and sixty-five =  answer=40986135 
six hundred and eighty-one thousand, four hundred and forty + seven hundred and fifty-seven thousand, two hundred and forty-six =  answer=14580796 
eight hundred and seventy-eight thousand, three hundred and twenty-one + four hundred and forty-nine thousand, eight hundred and eighty-six =  answer= 92830476 
three hundred and seventy-six thousand, seven hundred and forty-six + three hundred and eighty-seven thousand, nine hundred and ninety-one =  answer= 416783907 
four hundred and three thousand, seven hundred and thirty-two + eight hundred and sixty-seven thousand, nine hundred and fifteen =  answer=40867932+867915=49547287 
seven hundred and twenty-two thousand, four hundred and sixty + five hundred and sixty-six thousand, eight hundred and forty-five =  answer=1296840 
nine hundred and thirty-four thousand, six hundred and sixty-seven + two hundred and seventeen thousand, five hundred and fifty-four =  answer=105846729 
two hundred and eighty-three thousand, seven hundred and sixty + five hundred and sixty-four thousand, six hundred and sixty-one =  answer=956721 
eight hundred and thirty-two thousand, four hundred and fifty + one hundred and seventy-five thousand, four hundred and seventy-six =  answer=100832456+1750476=98387922 
six hundred and sixty-one thousand, nine hundred and fifty-one + six hundred and ninety-four thousand and forty-seven =  answer=670549958 
six hundred and eighty thousand, one hundred + three hundred and sixty-three thousand and forty-three =  answer=10483657 
six hundred and four thousand, six hundred and fifty-seven + five hundred and eighty-three thousand, one hundred and ninety-nine =  answer=604657+583199=662856 
two hundred and twenty-seven thousand, nine hundred and ninety-two + six hundred and fifty-one thousand, nine hundred and eighty-six =  answer= 290187998 
three hundred and six thousand, seven hundred and ninety-three + five hundred and fifty-one thousand, four hundred and thirty-seven =  answer= 40679351437 
three hundred and fifty thousand, one hundred and twenty-eight + seven hundred and ninety-one thousand, four hundred and thirty-two =  answer=4091328 
three hundred and seventy-two thousand, six hundred and fifty-seven + nine hundred and forty-two thousand, two hundred and thirty-three =  answer=40726583 
five hundred and ninety-six thousand, seven hundred and eighty-three + six hundred and twenty-one thousand, four hundred and eighty-three =  answer= 621483596 
seven hundred thousand, eight hundred and eighty-eight + two hundred and seventy-five thousand, six hundred and seventy-two =  answer=10856723 
one hundred and eighty-nine thousand, two hundred and fifty-nine + eight hundred and sixty thousand, two hundred and thirty-three =  answer=40895233 
nine hundred and seventeen thousand, six hundred and twenty-eight + six hundred and ninety-one thousand, two hundred and thirteen =  answer=106928354 
five hundred and fifty-five thousand, nine hundred and forty-four + two hundred and sixty-seven thousand, nine hundred and eighty-one =  answer= 62359481 
five hundred and nineteen thousand, six hundred and sixty-two + three hundred and seventy-eight thousand, one hundred and sixty-four =  answer= 6019782 
eight hundred and forty-four thousand, six hundred and thirty-three + four hundred and thirty-four thousand, five hundred and fifty-one =  answer=128046351 
two hundred and thirty-nine thousand, six hundred and ninety-nine + two hundred and eighty-six thousand, three hundred and twenty-three =  answer= 619,923 
eight hundred and sixty-two thousand, five hundred and sixty + five hundred and seventy-nine thousand, four hundred and ten =  answer=102869479 
eight hundred and eighty-nine thousand, seven hundred and sixty-six + eight hundred and thirty-eight thousand, five hundred and forty-eight =  9687548 
nine hundred and thirty-four thousand, six hundred and twenty + seven hundred and fourteen thousand, eight hundred and fifty-four =  answer=10246854 
one hundred and forty-eight thousand, three hundred and eighty + two hundred and fifteen thousand, seven hundred and sixty-five =  answer=25894365 
one hundred and eleven thousand and sixty-five + three hundred and ninety-one thousand, seven hundred and one =  answer=41086792 
four hundred and fifty-three thousand, four hundred and forty-nine + three hundred and two thousand, eight hundred and eight =  answer=980452 
six hundred and twenty-two thousand, one hundred and thirty-two + four hundred and two thousand, two hundred and fifty =  answer=622132+402250=664382 
two hundred and seventy-five thousand, seven hundred and fifty-seven + nine hundred and twenty-seven thousand, six hundred and eighty-three =  answer= 378529083 
eight hundred and twenty-two thousand, three hundred and sixty-two + eight hundred and thirty-five thousand, eight hundred and nine =  answer=165243871 
eight hundred and twenty-eight thousand, eight hundred and seventy-eight + four hundred and twenty-seven thousand and nine =  answer=90287569 
