zero + minus one =  answer=negative one 
minus six thousand, five hundred and twenty-two + nine thousand, nine hundred and ninety-six =  answer=three million, four hundred and seventy-eight. 
eight thousand, eight hundred and nineteen + minus five thousand, four hundred and seventy-four =  answer=three thousand, three hundred and twenty-five 
minus seven thousand, five hundred and eighty-six + one thousand, eight hundred and eighty-one =  answer=seven hundred and seventeen 
minus three thousand, four hundred and eight + six thousand, eight hundred and sixty-two =  answer=twenty-seven million, two hundred and seventy-eight thousand, one hundred and twenty-two. 
two thousand, four hundred and fifty-four + minus six thousand, two hundred and twenty-eight =  answer=two hundred and twenty-six 
minus eight thousand, four hundred and seventy-six + seven thousand, five hundred and twenty-seven =  answer=eight thousand, nine hundred and forty-three 
minus eight thousand, three hundred and ninety-eight + eight thousand, eight hundred and forty-eight =  answer=seven thousand, five hundred and nine 
one thousand, nine hundred and thirty-four + minus seven thousand, seven hundred and forty =  answer=two hundred and seventy-seven 
one thousand, eight hundred and eighty-six + minus five thousand, three hundred and forty-six =  answer=three hundred and sixty 
minus eight thousand, seven hundred and thirty-seven + five thousand, three hundred and nineteen =  answer=two million, nine hundred and seventy-eight. 
minus seven thousand, nine hundred and ninety + four thousand, eight hundred and nine =  answer=seven thousand, one hundred and ninety-nine 
seven thousand, two hundred and twenty-seven + minus six thousand, six hundred and ten =  answer=eleven hundred and thirty-seven 
minus six thousand, one hundred and twenty-nine + six thousand, nine hundred and thirty-four =  answer=five thousand, eight hundred and ten 
five thousand, six hundred and thirty-eight + minus eight thousand, three hundred and eleven =  answer=seven hundred and seventy-five 
two thousand, four hundred and seventy-seven + minus five thousand, four hundred and ninety =  answer=two hundred and eighty-three 
minus two thousand, nine hundred and twenty-three + nine thousand, one hundred and fifty-eight =  answer=ten thousand, seven hundred and seventy-five 
minus six thousand, two hundred and thirty-two + seven thousand, nine hundred and thirty-seven =  answer=three million, one hundred and twenty-five thousand, three hundred and seventy-nine 
minus seven thousand, three hundred and eighty-seven + four thousand, seven hundred and twenty-seven =  answer=three million, one hundred and seventeen. 
two thousand, two hundred and thirty-nine + minus three thousand, two hundred and eighty-six =  answer=seven hundred and forty-three 
nine thousand, nine hundred and fifty-six + minus two thousand, two hundred and sixty-four =  answer=seven thousand, seven hundred and ninety-two 
minus seven thousand and ninety-one + seven thousand, six hundred and twenty-six =  answer=seven thousand, nine hundred and thirty-five  
nine thousand and forty-two + minus two thousand, seven hundred and forty-one =  answer=seven thousand four hundred and twenty-one 
minus two thousand, four hundred and twenty-three + seven thousand, five hundred and thirty-nine =  answer=seven thousand, nine hundred and fifty-six 
four thousand, one hundred and twenty-nine + minus seven thousand, eight hundred and seventeen =  answer=two hundred and ninety-eight  
four thousand, seven hundred and forty-two + minus five thousand, five hundred and twenty-five =  answer=two thousand, two hundred and seventeen 
one thousand, three hundred and five + minus three thousand, seven hundred and fifty-five =  answer=seven hundred and eighty 
minus one thousand, eight hundred and forty-one + six thousand, four hundred and seventy =  answer=seven thousand, two hundred and sixty-nine 
minus four thousand, two hundred and thirty-nine + two thousand, eight hundred and thirteen =  answer=two million, five hundred and seventy-four 
minus five thousand, six hundred and eight + two thousand, five hundred and twenty-five =  answer=seven thousand, one hundred and seventy-three 
minus one thousand, five hundred and ninety-four + five thousand and four =  answer=five thousand nine hundred and forty-nine  
minus seven thousand, two hundred and seventy-two + seven thousand, nine hundred and thirty =  answer=seven thousand, three hundred and twenty-nine 
minus two thousand and nine + seven thousand, one hundred and twenty-four =  answer=seven thousand, one hundred and fifty-five 
five thousand, four hundred and sixty-three + minus one thousand, four hundred and twelve =  answer=four thousand, three hundred and forty-one 
nine thousand, eight hundred and thirty-six + minus three thousand and ninety-five =  answer=eight thousand, eight hundred and forty-one 
minus eight thousand, nine hundred and forty-one + seven thousand, three hundred and forty-six =  answer=eight thousand, four hundred and six 
minus eight thousand, six hundred + two thousand, three hundred and twenty-three =  answer=two million, nine hundred and seventy-three. 
minus one thousand, eight hundred and twenty-four + five thousand, two hundred and ninety-two =  answer=seven thousand, seven hundred and seventy-six  
six thousand and twenty-four + minus four thousand and sixteen =  answer=two thousand one hundred eighty-eight 
three thousand, one hundred and sixty-one + minus three thousand, seven hundred and sixty-nine =  answer=seven hundred and ninety-two  
five thousand, three hundred and twenty-one + minus nine thousand, three hundred and eighty-two =  answer=six hundred and ninety-nine 
seven thousand, three hundred and sixty-seven + minus nine thousand, five hundred and sixty-five =  answer=eighty-three 
minus one thousand, four hundred and twelve + two thousand, three hundred and fifty-seven =  answer=two million, seven hundred and seventy-nine 
minus eight thousand and eighty-six + two thousand, four hundred and twenty-eight =  answer=twenty-five million, one hundred and seventeen thousand, six hundred and ninety-two. 
minus seven thousand, two hundred and thirty-seven + eight thousand, seven hundred and seventy-two =  answer=five million, nine hundred and forty-five 
minus five thousand, one hundred and nine + two thousand, one hundred and fifty-six =  answer=two million, one hundred and ninety-seven 
minus six thousand, five hundred and seventy-three + four thousand, nine hundred and ninety-four =  answer=seven thousand, four hundred and twenty-one  
four thousand, five hundred and fifty-seven + minus one thousand and nine =  answer= three thousand, five hundred and forty-eight  
eight thousand, eight hundred and fifteen + minus seven thousand, four hundred and seventy-one =  answer= one hundred and ninety-four 
one thousand and twenty + minus nine thousand, six hundred and eighty-eight =  answer=two hundred and ten 
eight thousand, eight hundred and sixty-four + minus five thousand, two hundred and forty-one =  answer=three thousand, six hundred and twenty-three 
minus three thousand, three hundred and fifty-six + three thousand, nine hundred and fifty-five =  answer=zero 
one thousand, six hundred and sixty-one + minus three thousand, two hundred and seventy-six =  answer=three hundred and eighty-five 
eight thousand, eight hundred and thirty-three + minus four thousand, three hundred and two =  answer=four hundred and seventy-one 
minus six thousand, nine hundred and ninety-eight + eight thousand, nine hundred and thirteen =  answer=two million, seven hundred and seventy-five. 
one thousand, eight hundred and thirty-three + minus three thousand, three hundred and sixty-four =  answer=five hundred and seventy-nine 
minus six thousand, six hundred and ninety-nine + five thousand, six hundred and thirty-two =  answer=five thousand, nine hundred and twenty-three  
minus five thousand, five hundred and eighty-six + five thousand, eight hundred and ninety-four =  answer=five thousand, three hundred and seventy-eight  
seven thousand, three hundred and twenty + minus seven thousand and seventy-one =  answer=two hundred and forty-nine  
four thousand and six + minus six thousand, five hundred and eighty-four =  answer=eight hundred and seventeen 
minus five thousand, three hundred and sixty-nine + five thousand and twenty-five =  answer=two thousand seven hundred and thirty-six  
nine thousand, eight hundred and eighty-one + minus seven thousand, six hundred and seventy-four =  answer=two hundred and fifty-seven 
six thousand, one hundred and fifty-four + minus six thousand, five hundred and fifty-four =  answer=nine hundred and seventy-eight  
one thousand, one hundred and forty-six + minus one thousand, seven hundred and ninety-two =  answer=forty-four 
minus eight thousand, five hundred and forty-four + three thousand, five hundred and sixty-eight =  answer=seven thousand, one hundred and seventy-two  
seven thousand, nine hundred and forty-two + minus eight thousand, four hundred and twenty-seven =  answer=nine hundred and seventeen 
minus nine thousand, five hundred and four + eight thousand, one hundred and forty-nine =  answer=seven thousand, six hundred and fifty-five 
four thousand, seven hundred and thirty-two + minus three thousand, four hundred and twenty-two =  answer=one thousand, three hundred and ten 
six thousand, five hundred and ninety-four + minus eight thousand, eight hundred and eighty-eight =  answer=seven hundred and seventeen 
minus nine thousand, two hundred and fifty-four + seven thousand, nine hundred and eighty-four =  answer=eight thousand, six hundred and twenty-nine 
five thousand, three hundred and forty-eight + minus seven thousand, nine hundred and ninety-one =  answer=negative two thousand, four hundred and fifty-three 
minus five thousand, six hundred and fifty-nine + one thousand, two hundred and ninety-three =  answer=five thousand, eight hundred and forty-four 
minus five thousand and forty-seven + five thousand, nine hundred and ninety-nine =  answer=five thousand, four hundred and fifty-two  
minus four thousand and fifty + two thousand and ninety-six =  answer=two million one hundred forty-eight thousand five hundred twenty-four  
minus six thousand, four hundred and seventy-seven + eight thousand, five hundred and sixty-nine =  answer=two million, one hundred and ninety-eight. 
minus eight thousand, two hundred and sixty-one + three thousand, eight hundred and seventy-seven =  answer=three million, five hundred and thirty-six 
six thousand, eight hundred and fifty-nine + minus eight thousand, nine hundred and thirty-four =  answer=seven hundred and twenty-five 
nine thousand, three hundred and eighty-nine + minus four thousand and sixty-nine =  answer=five thousand, six hundred and seventeen 
minus nine thousand and thirty-three + two thousand, three hundred and one =  answer=twelve thousand, four hundred and seventy-four  
minus three thousand, eight hundred and ten + two thousand, two hundred and fifty =  answer=two thousand, five hundred and seventy-five 
minus three thousand, four hundred and sixty-two + eight thousand, three hundred =  answer=eight thousand, seven hundred and forty-two 
minus eight thousand, seven hundred and fifty-three + seven thousand, two hundred and ninety-nine =  answer=seven thousand, five hundred and forty-six 
minus two thousand, three hundred and twenty-two + four thousand, two hundred and forty-six =  answer=seven thousand, five hundred and sixty-eight 
six thousand and eighty-five + minus four thousand, six hundred and seventy-three =  answer=two thousand one hundred and ten 
minus six thousand, three hundred and seven + seven thousand, one hundred and twenty-three =  answer=seven thousand, four hundred and twenty-six 
nine thousand, seven hundred and ninety-three + minus six thousand, two hundred and ninety-one =  answer=two thousand, four hundred and ninety-two 
minus three thousand, eight hundred and forty-two + one thousand and two =  answer=seven hundred and seventy-five 
five thousand, nine hundred and sixty-two + minus eight thousand, three hundred and eighteen =  answer=three thousand, six hundred and seventy-four 
thirty-two thousand and sixty-two + minus ninety-nine thousand, eight hundred and forty-two =  answer=twenty-three thousand, seven hundred and twenty.  
fourteen thousand and seventy-five + minus thirty-seven thousand, one hundred and twenty-six =  answer=twenty-three thousand seven hundred and forty-nine 
ninety-eight thousand, three hundred and ninety-five + minus sixty-six thousand, three hundred and ninety-nine =  answer=three hundred and thirty-four thousand, nine hundred and eighty-six. 
minus ninety thousand, five hundred and twenty-five + ninety-nine thousand, two hundred and eighty-four =  answer=ten thousand, seven hundred and ten 
thirty thousand, eight hundred and two + minus ninety-one thousand, five hundred and fifteen =  answer=twenty-eight thousand, three hundred and seventy-seven 
twenty thousand, one hundred and twenty-seven + minus sixty-eight thousand and ninety-nine =  answer=twenty-three thousand, two hundred and thirty-eight  
minus eighty-four thousand, five hundred and thirty-three + twenty thousand, three hundred and seventeen =  answer=twenty-seven million, seven hundred and sixty-eight thousand, one hundred and ninety-one. 
sixty-three thousand, two hundred and ninety-four + minus ninety thousand, two hundred and eighty =  answer=seventeen thousand, nine hundred and ten 
minus twenty-seven thousand, four hundred and eighty-four + seventy-three thousand, two hundred and seventy-seven =  answer=twenty-five thousand, seven hundred and ninety-nine 
eighty-seven thousand, three hundred and eighty-seven + minus thirty-five thousand, nine hundred and forty =  answer=forty-two thousand, four hundred and ninety-three 
ninety-five thousand, two hundred and fifty + minus ten thousand, two hundred and fifty-seven =  answer=eighty-four thousand, nine hundred and forty-three 
minus eighty-four thousand, one hundred and fifty-nine + ninety-four thousand, five hundred and forty =  answer=seven million, three hundred and ten thousand, six hundred and twenty-one  
minus twenty-six thousand, eight hundred and eighty-four + thirty-five thousand, eight hundred and twenty-four =  answer=twenty-three thousand, nine hundred and ninety-eight 
ninety-one thousand, seven hundred and thirty-four + minus ninety-two thousand, one hundred and thirty-nine =  answer=seven hundred and seventy-five 
minus forty-eight thousand, nine hundred and seventy-eight + thirty-three thousand, two hundred and five =  answer=thirty-two thousand, seven hundred and twenty-seven 
fifty-six thousand, eight hundred and eighteen + minus sixty-one thousand, nine hundred and forty-three =  answer=forty-five thousand, nine hundred and seventeen 
minus eighty-seven thousand, five hundred and thirty-one + forty-four thousand and thirty-six =  answer=forty-three thousand, seven hundred and sixty-five 
sixty-five thousand, two hundred and eighty-one + minus fifty thousand and seven =  answer=eleven thousand one hundred and seventy-four 
sixty-six thousand, eight hundred and ninety-two + minus thirty-nine thousand, one hundred and thirty-six =  answer=twenty-seven thousand, seven hundred and fifty-six 
minus twenty-six thousand, nine hundred and forty-two + forty-nine thousand, nine hundred and forty-four =  answer=twenty-three thousand, one hundred and ninety-eight  
ninety-three thousand, five hundred and thirteen + minus seventy thousand, one hundred and sixty-one =  answer=twenty-three thousand, three hundred and forty-two  
minus forty-eight thousand and forty-seven + ninety-four thousand, seven hundred and ninety =  answer=forty-three thousand, two hundred and seventeen 
sixty thousand, three hundred and forty-three + minus ninety-two thousand, six hundred and sixty-nine =  answer=sixty-seven thousand, four hundred and seventy-four 
minus eighty-eight thousand, six hundred and fifty-six + fourteen thousand, eight hundred and three =  answer=seventeen million, one hundred and seventy-three thousand, five hundred and twenty-nine. 
minus thirty-nine thousand, five hundred and eighty-eight + seventy-two thousand, nine hundred and fifty-three =  answer=forty-seven million, four hundred and twenty-one thousand, six hundred and forty-five. 
minus sixty-five thousand, six hundred and forty + twenty-two thousand, five hundred and sixty-two =  answer=twenty-seven million, one hundred and eighty-nine thousand, nine hundred and seventy-eight. 
minus eleven thousand, one hundred and sixty-nine + thirty thousand and twenty-seven =  answer=twenty-eight thousand, eight hundred and ninety-four 
eighty-two thousand, three hundred and ten + minus sixty-six thousand, six hundred and seventy-six =  answer=twenty-five thousand, six hundred and twenty-four 
minus ninety-six thousand, three hundred and eighty-two + twenty-eight thousand, six hundred and seventy-five =  answer=seventeen million, nine hundred and sixty-three. 
minus fifty-five thousand, five hundred and sixty-seven + twenty-six thousand, two hundred and ninety-three =  answer=twenty-four thousand, seven hundred and thirty-six 
sixty-one thousand, four hundred and forty-three + minus twenty-three thousand, four hundred and eighty-three =  answer=forty-eight thousand, nine hundred and fifty-seven 
fifty-five thousand, nine hundred and sixty-nine + minus seventeen thousand, eight hundred and sixty-eight =  answer=thirty-seven thousand, one hundred and ninety-one 
twenty-eight thousand, seven hundred and twenty-four + minus thirty-four thousand, one hundred and ninety =  answer=twenty-five thousand, five hundred and twenty-four  
minus seventy thousand, one hundred and eleven + ninety-three thousand, eight hundred and forty-four =  answer=seventy-two thousand, nine hundred and fifty-five 
minus seventy-six thousand, seven hundred and sixteen + twenty-five thousand, six hundred and thirty-three =  answer=twenty-two thousand, nine hundred and eighty-seven 
sixty-eight thousand, five hundred and thirty-two + minus eighty-four thousand and fifteen =  answer=forty-three thousand, four hundred and seventeen 
minus twenty-eight thousand, eight hundred and eighty-six + fourteen thousand, seven hundred and sixty =  answer=twenty-five thousand, nine hundred and seventy-four 
nineteen thousand, eight hundred and fourteen + minus sixty-six thousand, nine hundred and fifty-seven =  answer=twelve thousand, seven hundred and forty-seven 
minus forty-seven thousand, three hundred and seventy-three + fifty-eight thousand, nine hundred and one =  answer=forty-six thousand, six hundred and twenty-one 
minus nineteen thousand, three hundred and ninety-two + thirty-eight thousand, one hundred and thirty =  answer=twenty-seven thousand, four hundred and twenty-three 
minus forty thousand, two hundred and five + eighty-eight thousand, three hundred and twenty-four =  answer=forty-three million, four hundred and seventeen thousand, one hundred and ninety-nine dollars. 
minus fifty-two thousand, five hundred and seventeen + thirty-three thousand, five hundred and ninety-one =  answer=twenty-seven million, eight hundred and twenty-four thousand, one hundred and sixty-eight. 
minus forty-seven thousand, two hundred and thirty + eighteen thousand, one hundred and ninety-seven =  answer=twenty-three thousand, three hundred and seventy-eight  
thirty-three thousand, six hundred and twenty-three + minus sixty-seven thousand and thirty-eight =  answer=thirty-two thousand, five hundred and eighty-five 
minus sixty-six thousand, three hundred and eighty-eight + eighty-nine thousand, six hundred and two =  answer=seventy-three thousand, nine hundred and ninety. 
minus thirteen thousand and forty-seven + ninety-five thousand, seven hundred and thirty =  answer=forty-three thousand, four hundred and seventy-eight  
eighty-two thousand, one hundred and fifteen + minus forty-five thousand, two hundred =  answer=forty-seven thousand, nine hundred and ten 
minus sixty-one thousand and eighty-seven + ninety thousand, eight hundred and ninety =  answer=thirty-nine thousand, nine hundred and ten 
eighty thousand, six hundred and fifty-seven + minus sixty-seven thousand, four hundred =  answer=twenty-three thousand, one hundred and ninety-three 
ninety-two thousand, four hundred and forty-six + minus forty thousand, five hundred and seventy-six =  answer=forty-five thousand, eight hundred and sixty-four 
minus sixty-eight thousand, three hundred + sixty-nine thousand and forty-seven =  answer=sixty-three million, four hundred and seventy-one thousand, one hundred and thirty-two  
minus sixty-nine thousand, six hundred and thirty-seven + twenty-six thousand, two hundred and eighty-seven =  answer=twenty-five thousand, three hundred and seventeen 
minus ninety-one thousand, three hundred and fifty + twenty-five thousand, five hundred and seventy-two =  answer=twenty-four thousand, eight hundred and forty-eight  
thirty-six thousand, six hundred and ninety-seven + minus thirty-five thousand, three hundred and fifty-nine =  answer=twelve thousand, two hundred and thirty-eight 
eighteen thousand, six hundred and five + minus forty thousand, three hundred and eighty-two =  answer=twenty-eight thousand, two hundred and seventeen 
minus ninety-three thousand, nine hundred and ninety-four + ninety-one thousand and seventy-seven =  answer=ten thousand one hundred and seventy-nine 
fifteen thousand, four hundred and sixty-eight + minus seventy-one thousand and five =  answer=forty-five thousand, three hundred and ninety-seven  
eighty-two thousand, two hundred and twenty-nine + minus fifty-three thousand, three hundred and sixteen =  answer=twenty-eight million, one hundred and ninety-seven thousand, nine hundred and seventeen. 
minus thirty-eight thousand, two hundred + forty-nine thousand, three hundred and fifty =  answer=forty-seven million, five hundred and eighty-one thousand, five hundred. 
minus ten thousand, four hundred and ninety-six + fifty-six thousand, six hundred and seventy-nine =  answer=forty-seven million, one hundred and eighty-three thousand, two hundred and seventy-nine. 
twenty-seven thousand, two hundred and sixty-one + minus sixty-seven thousand, two hundred and fifty-five =  answer=twenty-six thousand, nine hundred and ninety-six 
minus forty-two thousand, three hundred and ninety-four + seventy-seven thousand, five hundred and seventy-seven =  answer=forty-three million, one hundred and twenty-one thousand, eight hundred and seventy-seven. 
thirty-five thousand, seven hundred and nine + minus sixty-eight thousand and sixteen =  answer=twenty-seven thousand, four hundred and ninety-three 
forty-six thousand and sixty-one + minus thirty-six thousand, seven hundred and sixty =  answer=ten thousand six hundred and ninety-five 
forty-two thousand, three hundred and sixty-eight + minus twenty-eight thousand, three hundred and seventeen =  answer=twenty-four thousand, one hundred and eighty-one 
forty-nine thousand, one hundred and fifty-five + minus fifty-eight thousand, seven hundred and thirty-two =  answer=forty-seven thousand, three hundred and nineteen 
minus eighty-four thousand and nine + sixty-one thousand and five =  answer=seventy-five thousand one hundred and six  
thirteen thousand, eight hundred and eighty + minus eighty-three thousand and eighty-nine =  answer=five hundred and seventeen 
forty-two thousand, one hundred and fourteen + minus sixty-three thousand, eight hundred and forty =  answer=twenty-nine thousand, two hundred and twenty-one  
minus sixty-eight thousand, five hundred and thirty-six + twenty-four thousand, one hundred and eleven =  answer=twenty-three million, six hundred and seventy-five thousand, four hundred and ten. 
minus thirty-one thousand, three hundred and eighteen + fifty-seven thousand and sixty-eight =  answer=twenty-three thousand, seven hundred and eighty. 
minus thirty-nine thousand, nine hundred and fifty-three + seventy-five thousand, six hundred and twenty-one =  answer=forty-six million, five hundred and seventeen. 
minus thirty-three thousand, five hundred and three + twenty-five thousand, seven hundred and thirty =  answer=twenty-two thousand, two hundred and seventy-three  
fifteen thousand, one hundred and eighty + minus eighty-six thousand and fifty =  answer=seven thousand, one hundred and twenty-four  
sixty thousand, three hundred and one + minus ninety-two thousand, eight hundred and sixty =  answer=sixty thousand, two hundred and seventy-nine 
seventy-nine thousand, four hundred and fifteen + minus twenty-six thousand, nine hundred and eighteen =  answer=fifty-three thousand, two hundred and thirty-seven 
minus ninety-six thousand, three hundred and sixty-four + thirty-four thousand, two hundred and forty-seven =  answer=thirty-three thousand, nine hundred and eighty-one 
minus forty-five thousand, three hundred and fifty + forty-seven thousand, nine hundred and forty-eight =  answer=forty-two thousand, six hundred and ninety-eight 
eighty-eight thousand, eight hundred and twenty-five + minus eighty-one thousand and forty-eight =  answer=seven thousand, three hundred and seventy-seven 
minus forty-two thousand, one hundred and eleven + eighty thousand, seven hundred and sixty-seven =  answer=forty-three million, five hundred and seventy-eight. 
minus fifty-one thousand, six hundred and ninety-four + ninety-seven thousand, four hundred and thirty-four =  answer=forty-six thousand, seven hundred and eighty-eight 
minus seventy-eight thousand, five hundred and two + ten thousand and sixty =  answer=seventy-three thousand, one hundred and twenty-two 
minus thirteen thousand, five hundred and eighty-nine + eighty-eight thousand, nine hundred and eighty-nine =  answer=seven million, four hundred and ninety-one thousand, seven hundred and seventeen. 
seventy-one thousand, two hundred and twenty-eight + minus fifty-eight thousand, six hundred and ninety-three =  answer=twenty-two thousand, five hundred and thirty-five 
minus eighty-eight thousand, seven hundred and eighty-eight + seventy-nine thousand and sixty-nine =  answer=seven million one hundred and ninety-one thousand nine hundred and eighty-eight. 
minus twenty-four thousand, three hundred and ninety-five + fifty-two thousand, five hundred and eleven =  answer=twenty-eight million, two hundred and seventy-seven thousand, eight hundred and ten. 
minus fourteen thousand, six hundred and thirteen + seventy-seven thousand, five hundred and one =  answer=forty-three million, seven hundred and eighty-four thousand, five hundred and twenty-eight. 
minus seventy-one thousand, two hundred and fifty-seven + forty-seven thousand, two hundred and eighty-six =  answer=twenty-nine million, one hundred and twenty-three thousand, four hundred and thirty-three. 
thirty-nine thousand and ten + minus twenty thousand, four hundred and forty-one =  answer=eleven thousand one hundred and sixty-nine 
forty-one thousand, one hundred and sixteen + minus thirteen thousand, six hundred and forty-nine =  answer=twenty-seven thousand, four hundred and seventeen 
twenty-six thousand, six hundred and twenty-six + minus nineteen thousand, five hundred and seven =  answer=seven thousand, one hundred and four 
minus seventy-three thousand, five hundred and nine + sixty-nine thousand, seven hundred and sixty-six =  answer=twenty-five million, two hundred and ninety-seven thousand, one hundred and thirty-seven. 
minus sixty-two thousand, three hundred and seven + sixty-four thousand, five hundred and seventy =  answer=twenty-three thousand, two hundred and ninety-seven  
sixty-six thousand, five hundred and fifty-three + minus ninety-seven thousand, six hundred and fifty-nine =  answer=fifty-four thousand, eight hundred and nine 
twenty-nine thousand, five hundred and fifteen + minus ninety-one thousand, one hundred and fifty-two =  answer=twenty-eight thousand, four hundred and ten 
eighty-four thousand, three hundred and eighteen + minus thirty-six thousand, one hundred and eighty-six =  answer=forty-eight thousand, one hundred and twenty-two 
minus ninety-one thousand, one hundred and seven + forty-two thousand, six hundred and fifty-seven =  answer=forty-three million, five hundred and seventeen. 
fifty-six thousand, three hundred and forty-six + minus forty-one thousand, nine hundred and eighty-eight =  answer=eleven thousand, four hundred and seventeen 
twenty-one thousand, two hundred and twenty-five + minus fourteen thousand, three hundred and sixty =  answer=seven thousand, one hundred and forty-nine 
minus sixty-five thousand, two hundred and twenty-three + thirty-nine thousand, two hundred and forty-six =  answer=thirty-eight million, four hundred and seventy-seven thousand, two hundred and twenty-three. 
sixty-one thousand, three hundred and seventy-five + minus twelve thousand, five hundred and forty-nine =  answer=forty-eight thousand, seven hundred and twenty-six 
minus fifty-two thousand, five hundred and sixty-eight + seventy-seven thousand, one hundred and fifty-eight =  answer=twenty-five thousand, six hundred and eighty-three 
twenty-seven thousand, one hundred and fifty-one + minus thirty thousand, three hundred and fifty-four =  answer= seven thousand, eighty-five 
sixty-nine thousand, four hundred and sixty-four + minus sixty-six thousand, nine hundred and twenty-six =  answer=forty-three thousand, five hundred and thirty-eight  
eleven thousand, three hundred and ninety-eight + minus eighty-one thousand, one hundred and forty =  answer=eleven thousand, two hundred and ten 
minus twenty-three thousand, four hundred and eighty-two + twenty-five thousand and thirty-one =  answer=twenty-two thousand, one hundred and seventy-nine  
sixty-eight thousand, seven hundred and thirty-five + minus twenty-one thousand, seven hundred and ninety-four =  answer=forty-seven thousand, nine hundred and forty-one 
eighty-eight thousand, six hundred and ninety-six + minus seventy-five thousand, one hundred =  answer=twenty-three thousand, five hundred and nine6. 
minus sixty-eight thousand, six hundred and eighty-eight + ten thousand, one hundred and thirty-six =  answer=sixty-two thousand, seven hundred and forty-eight 
thirty-two thousand, three hundred and eighty-two + minus twenty-five thousand, one hundred and fifty =  answer=seven thousand, two hundred and thirty-two  
eighty-nine thousand and twenty-eight + minus twenty-nine thousand, four hundred and forty-three =  Answer=sixty-two thousand, seven hundred and seventy-five 
minus seventy-eight thousand, three hundred and thirty-one + forty-nine thousand and sixty-one =  answer=seventy-three thousand, six hundred and twenty-two 
minus ninety-six thousand, three hundred and eighty-nine + seventy-nine thousand and forty-seven =  answer=eight million one hundred and twenty-one thousand four hundred and seven 
forty thousand and seventy + minus forty-one thousand, two hundred and fifty-four =  Answer=twenty-seven thousand seven hundred and twenty-six. 
minus ten thousand, seven hundred and ninety-eight + eighty-six thousand, one hundred and forty-six =  answer=seven million, nine hundred and fifty-four 
minus forty-six thousand, nine hundred and sixty-five + seventy-four thousand, two hundred and ninety-four =  answer=twenty-eight million, one hundred and twenty-nine thousand, six hundred and thirty-nine. 
seventy thousand, one hundred and twenty-seven + minus eighty-three thousand, three hundred and seventy-eight =  answer=twenty-four thousand, seven hundred and forty-nine 
minus ninety-eight thousand, six hundred and thirty-eight + ninety-five thousand, three hundred and twenty-nine =  answer=ten thousand, nine hundred and eighty-one 
minus ninety-seven thousand, three hundred and sixty-two + fifty-four thousand, four hundred =  answer=forty-three million, seven hundred and eighty-eight thousand, one hundred and twenty-two. 
minus eighty-nine thousand, one hundred and eighteen + seventy-two thousand and twenty-eight =  answer=seventy-three thousand, two hundred and ten 
minus ninety-two thousand, eight hundred and ninety-five + eighty-three thousand, nine hundred and eighty-seven =  answer=eighty-one million, one hundred and seventeen thousand, seven hundred and eighty-two. 
fifteen thousand, four hundred and seven + minus twenty-nine thousand, one hundred and eighty-three =  answer=twenty-five thousand, two hundred and seventy-four  
eighty-seven thousand, eight hundred and seven + minus fifty-three thousand, nine hundred and twenty-six =  answer=twenty-four thousand, six hundred and forty-one 
fifty-three thousand, nine hundred and twenty-six + minus fifty thousand, two hundred and sixteen =  answer=forty-two thousand, seven hundred and ninety-four 
sixty-three thousand and thirty-two + minus forty-nine thousand, two hundred and ninety-six =  answer=twenty-four thousand, seven hundred and eighty-eight 
minus twenty-one thousand, six hundred and eighty-five + eighty-three thousand, three hundred and twenty =  answer=twenty-one thousand, nine hundred and ten 
minus forty-one thousand, two hundred and eighteen + ninety-three thousand, three hundred and thirty-five =  answer=forty-one thousand, one hundred and fifty-seven 
minus seventy-four thousand, eight hundred and eighteen + sixty-nine thousand, nine hundred and sixty =  answer=seventeen million, seven hundred and ninety-one. 
ninety-one thousand, one hundred and nine + minus eighty-seven thousand and ninety-two =  answer=ten thousand, two hundred and seventeen 
thirty-three thousand, seven hundred and forty-nine + minus twenty-one thousand, two hundred and eighty-eight =  answer=eleven thousand, four hundred and seventeen 
minus fifty-nine thousand, six hundred and ninety + twelve thousand, nine hundred and forty-seven =  answer=twelve thousand, three hundred and eighty-eight 
minus thirty-four thousand, four hundred and seventeen + twenty thousand, nine hundred and forty-two =  answer=seven thousand, five hundred and eighty-five  
minus fifty-five thousand and sixty-six + eighty-nine thousand, four hundred and twenty-seven =  answer=three million one hundred and seventeen thousand six hundred and ninety-eight 
eighty-five thousand, one hundred and seventy-nine + minus sixty-four thousand, three hundred and fifty-seven =  answer=twenty-one thousand, seven hundred and twenty-two 
seventy thousand, three hundred and twenty-six + minus seventeen thousand, six hundred and fifty =  answer=fifty-three thousand, seven hundred and ten 
minus forty-three thousand, five hundred and ninety-two + seventy-nine thousand, five hundred and thirteen =  answer=thirty-six million, eight hundred and twenty-seven thousand, nine hundred and thirty-five. 
twenty-one thousand, seven hundred and ninety-eight + minus sixty-two thousand, one hundred =  answer=twenty-one thousand, six hundred and thirty-six 
fifty-five thousand and seventy-five + minus fifty-four thousand, nine hundred and thirty-five =  answer=seven hundred and forty 
forty-one thousand, seven hundred and thirty-five + minus sixteen thousand, three hundred and fifty-seven =  answer=twenty-five thousand, three hundred and seventy-eight  
seventeen thousand and fifty-nine + minus thirteen thousand, one hundred and fifty-seven =  answer=three thousand five hundred forty-two 
