0 + zero =  answer=0 
71228 + fifty-eight thousand, six hundred and ninety-three =  answer=96430 
eighty-eight thousand, seven hundred and eighty-eight + 79069 =  answer=88788+79069=167857 
twenty-four thousand, three hundred and ninety-five + 52511 =  answer=76946 
fourteen thousand, six hundred and thirteen + 77501 =  answer=219646 
seventy-one thousand, two hundred and fifty-seven + 47286 =  answer=119303 
39010 + twenty thousand, four hundred and forty-one =  answer=42410 
41116 + thirteen thousand, six hundred and forty-nine =  answer=42780 
26626 + nineteen thousand, five hundred and seven =  answer=41907 
seventy-three thousand, five hundred and nine + 69766 =  answer=140835 
sixty-two thousand, three hundred and seven + 64570 =  answer=69127 
66553 + ninety-seven thousand, six hundred and fifty-nine =  answer=762189 
29515 + ninety-one thousand, one hundred and fifty-two =  answer=30467 
84318 + thirty-six thousand, one hundred and eighty-six =  answer=90267 
ninety-one thousand, one hundred and seven + 42657 =  answer=91018 
56346 + forty-one thousand, nine hundred and eighty-eight =  answer=90812 
21225 + fourteen thousand, three hundred and sixty =  answer=22890 
sixty-five thousand, two hundred and twenty-three + 39246 =  answer=70182 
61375 + twelve thousand, five hundred and forty-nine =  answer=62924 
fifty-two thousand, five hundred and sixty-eight + 77158 =  answer=129426 
27151 + thirty thousand, three hundred and fifty-four =  answer=60465 
69464 + sixty-six thousand, nine hundred and twenty-six =  answer=76028 
11398 + eighty-one thousand, one hundred and forty =  answer=120798 
twenty-three thousand, four hundred and eighty-two + 25031 =  answer=28493 
68735 + twenty-one thousand, seven hundred and ninety-four =  answer=69014 
88696 + seventy-five thousand, one hundred =  answer=96207 
sixty-eight thousand, six hundred and eighty-eight + 10136 =  answer=79248 
32382 + twenty-five thousand, one hundred and fifty =  answer=34017 
89028 + twenty-nine thousand, four hundred and forty-three =  answer=101473 
seventy-eight thousand, three hundred and thirty-one + 49061 =  answer=83792 
ninety-six thousand, three hundred and eighty-nine + 79047 =  answer=106832 
40070 + forty-one thousand, two hundred and fifty-four =  answer=41254 
ten thousand, seven hundred and ninety-eight + 86146 =  answer=97084 
forty-six thousand, nine hundred and sixty-five + 74294 =  answer=108639 
70127 + eighty-three thousand, three hundred and seventy-eight =  answer=83409 
ninety-eight thousand, six hundred and thirty-eight + 95329 =  answer=108767 
ninety-seven thousand, three hundred and sixty-two + 54400 =  answer=10397362 
eighty-nine thousand, one hundred and eighteen + 72028 =  answer=919368 
ninety-two thousand, eight hundred and ninety-five + 83987 =  answer=102682 
15407 + twenty-nine thousand, one hundred and eighty-three =  answer=29383 
87807 + fifty-three thousand, nine hundred and twenty-six =  answer=92813 
53926 + fifty thousand, two hundred and sixteen =  answer=58147 
63032 + forty-nine thousand, two hundred and ninety-six =  answer=749296 
twenty-one thousand, six hundred and eighty-five + 83320 =  answer=104965 
forty-one thousand, two hundred and eighteen + 93335 =  answer=421083 
seventy-four thousand, eight hundred and eighteen + 69960 =  answer=147388 
91109 + eighty-seven thousand and ninety-two =  answer=98792 
33749 + twenty-one thousand, two hundred and eighty-eight =  answer=36027 
fifty-nine thousand, six hundred and ninety + 12947 =  answer=60983 
thirty-four thousand, four hundred and seventeen + 20942 =  answer=54813 
fifty-five thousand and sixty-six + 89427 =  answer=144603 
85179 + sixty-four thousand, three hundred and fifty-seven =  answer=64357 
70326 + seventeen thousand, six hundred and fifty =  answer=seventy-one thousand, three hundred and twenty-six 
forty-three thousand, five hundred and ninety-two + 79513 =  answer=48296092 
21798 + sixty-two thousand, one hundred =  answer=27408 
55075 + fifty-four thousand, nine hundred and thirty-five =  answer=604985 
41735 + sixteen thousand, three hundred and fifty-seven =  answer=68092 
17059 + thirteen thousand, one hundred and fifty-seven =  answer=18362 
sixty-nine thousand, nine hundred and forty-two + 90807 =  answer=699942+90807=791749 
nineteen thousand, two hundred and thirty-eight + 25314 =  answer=44908 
45160 + fifty-six thousand, seven hundred and twenty-seven =  answer=97827 
32800 + seventy-one thousand, one hundred and ninety-one =  answer=71991 
eighty-two thousand, eight hundred and ninety + 18273 =  answer=90498 
sixty-three thousand, four hundred + 33616 =  answer=69946 
seventeen thousand, seven hundred and ninety-two + 28098 =  answer=46107 
ninety-four thousand, six hundred and twelve + 17848 =  answer=962046 
15903 + twenty-seven thousand, nine hundred and ninety-one =  answer=279991 
47397 + nineteen thousand, six hundred and eighty =  answer=48067 
622103 + three hundred and thirty-seven thousand, one hundred and sixty =  answer=795468 
833739 + five hundred and ninety-eight thousand, two hundred and sixteen =  answer=9230616 
three hundred and ten thousand, five hundred and seven + 976407 =  answer=1283462 
750572 + nine hundred and thirty-two thousand, two hundred and seventy =  answer=813599 
four hundred and forty-three thousand, four hundred and forty-three + 662770 =  answer=1098343 
958440 + three hundred and eighty thousand, four hundred and fifty-eight =  answer=1372688 
161113 + one hundred and sixty-six thousand, six hundred and fifty =  answer=2078496 
one hundred and fifty-four thousand, five hundred and eighty + 558427 =  answer=693285 
585279 + six hundred and seventy-six thousand, three hundred and twenty-seven =  answer=6430019 
546112 + nine hundred and four thousand, two hundred =  answer=980736 
112926 + five hundred and sixty-six thousand, six hundred and thirteen =  answer=1348706 
eight hundred and sixty-one thousand, seven hundred and thirty-six + 651934 =  answer=87209036 
nine hundred and one thousand, four hundred and thirty-four + 294320 =  answer=102768434 
six hundred and twenty-eight thousand, eight hundred and eighty-six + 588014 =  answer=632897686+588014=691009526 
967640 + seven hundred and sixty-four thousand, two hundred and ninety-nine =  answer=1038239 
two hundred and fifty-two thousand, five hundred and seventy-seven + 807692 =  answer=106345997 
seven hundred and fifty-eight thousand and ninety-three + 712993 =  answer=8,460,923 
812168 + two hundred and fifteen thousand, five hundred and eighty-three =  answer=934071 
962210 + two hundred and twenty thousand, three hundred and twenty-three =  answer=1184433 
three hundred and eighty-seven thousand, one hundred and forty-five + 193576 =  answer=4023819 
240512 + eight hundred and seventy-six thousand and fifty-nine =  answer=328269 
seven hundred and seventy-three thousand, one hundred and fifty-five + 682285 =  answer=7901385 
nine hundred and seven thousand, eight hundred and seventy-two + 960909 =  answer=10872341 
189718 + nine hundred and three thousand, five hundred and seventy =  answer=209368 
two hundred and thirty-one thousand, nine hundred and eight + 240711 =  answer=231986981 
923077 + two hundred and seventy-nine thousand, eight hundred and thirty-four =  answer=10068047 
846864 + four hundred and thirty-seven thousand, three hundred and seventy-six =  answer=910237 
708465 + two hundred and eight thousand, nine hundred and ninety-six =  answer=921359 
seven hundred and sixty-seven thousand, seven hundred and thirty-one + 706354 =  answer=842989 
153784 + nine hundred and eighty-three thousand, four hundred and sixty-four =  answer=209628 
117954 + eight hundred and nineteen thousand, four hundred and forty =  answer=120839440 
four hundred and ninety-two thousand, seven hundred and forty-eight + 725908 =  answer=492748+725908=818656 
809646 + seven hundred and fifty-eight thousand, four hundred and thirty-four =  answer=817380 
five hundred and forty-four thousand, five hundred and sixty-two + 561758 =  answer=590234 
one hundred and twenty-one thousand, nine hundred and thirty-nine + 305762 =  answer=418928 
699333 + one hundred and thirty-two thousand, three hundred and sixty-two =  answer=702695 
852671 + nine hundred and seventy thousand, three hundred and three =  answer=970374 
two hundred and seventy-three thousand, seven hundred and thirty-six + 288984 =  answer=306170 
534094 + nine hundred and twenty-six thousand, four hundred and seventy-one =  answer=627815 
five hundred and sixty-five thousand, nine hundred and nineteen + 284364 =  answer=610973 
eight hundred and seven thousand, five hundred and sixty-two + 355276 =  answer=80756918 
five hundred and sixty-nine thousand and forty-four + 375810 =  answer=624390 
four hundred and ninety-one thousand, six hundred and twenty-seven + 238617 =  answer=4910627+238617=5198794 
749974 + nine hundred and eighty-one thousand and fourteen =  answer=868123 
471733 + seven hundred and twenty-six thousand, seven hundred and ninety-two =  answer=892069 
four hundred and seventy-five thousand, one hundred and sixteen + 475586 =  answer=9201328 
nine hundred and sixteen thousand, seven hundred and ninety-three + 951642 =  answer=104738953 
seven hundred and twenty-five thousand, two hundred and seventy-two + 573370 =  answer=1296272 
235927 + three hundred and thirty-one thousand, eight hundred and eighty-four =  answer=268104 
174114 + four hundred and thirty thousand, seven hundred and sixty-seven =  answer=2083967 
one hundred and sixty-eight thousand, nine hundred and three + 925275 =  answer=180463283 
604217 + seven hundred and eighty-two thousand, four hundred and thirty =  answer=839617 
802652 + nine hundred and twenty-two thousand, three hundred and thirty-six =  answer=931748 
342214 + five hundred and fifty-nine thousand and seventy-nine =  answer=397783 
721155 + six hundred and ninety-eight thousand, seven hundred and ninety-seven =  answer=8698403 
one hundred and twenty-eight thousand, three hundred and one + 313087 =  answer=469228 
269729 + two hundred and sixty-one thousand and two =  answer=280314 
five hundred and forty-one thousand, nine hundred and twenty + 982637 =  answer=541920+982637=639857 
three hundred and sixty-one thousand, nine hundred and sixty-nine + 460394 =  answer=472813 
138130 + nine hundred and sixty thousand, five hundred and sixty-five =  answer=2467965 
681440 + seven hundred and fifty-seven thousand, two hundred and forty-six =  answer=759246 
eight hundred and seventy-eight thousand, three hundred and twenty-one + 449886 =  answer=92710388 
376746 + three hundred and eighty-seven thousand, nine hundred and ninety-one =  answer=4128097 
403732 + eight hundred and sixty-seven thousand, nine hundred and fifteen =  answer=489617 
722460 + five hundred and sixty-six thousand, eight hundred and forty-five =  answer=839105 
nine hundred and thirty-four thousand, six hundred and sixty-seven + 217554 =  answer=934668 
two hundred and eighty-three thousand, seven hundred and sixty + 564661 =  answer=30923766 
832450 + one hundred and seventy-five thousand, four hundred and seventy-six =  answer=917626 
661951 + six hundred and ninety-four thousand and forty-seven =  answer=720438 
680100 + three hundred and sixty-three thousand and forty-three =  answer=743943 
six hundred and four thousand, six hundred and fifty-seven + 583199 =  answer=604657+583199=662856 
two hundred and twenty-seven thousand, nine hundred and ninety-two + 651986 =  answer=230479992 
306793 + five hundred and fifty-one thousand, four hundred and thirty-seven =  answer=418230 
three hundred and fifty thousand, one hundred and twenty-eight + 791432 =  answer=806452 
372657 + nine hundred and forty-two thousand, two hundred and thirty-three =  answer=401892 
596783 + six hundred and twenty-one thousand, four hundred and eighty-three =  answer=621483 
700888 + two hundred and seventy-five thousand, six hundred and seventy-two =  answer=946231 
one hundred and eighty-nine thousand, two hundred and fifty-nine + 860233 =  answer=199254783 
917628 + six hundred and ninety-one thousand, two hundred and thirteen =  answer=930428 
five hundred and fifty-five thousand, nine hundred and forty-four + 267981 =  answer=603435 
519662 + three hundred and seventy-eight thousand, one hundred and sixty-four =  answer=5378084 
844633 + four hundred and thirty-four thousand, five hundred and fifty-one =  answer=917984 
239699 + two hundred and eighty-six thousand, three hundred and twenty-three =  answer=280147 
eight hundred and sixty-two thousand, five hundred and sixty + 579410 =  answer=86256565. 
eight hundred and eighty-nine thousand, seven hundred and sixty-six + 838548 =  answer=9726104 
nine hundred and thirty-four thousand, six hundred and twenty + 714854 =  answer=9340624 
148380 + two hundred and fifteen thousand, seven hundred and sixty-five =  answer=269788 
111065 + three hundred and ninety-one thousand, seven hundred and one =  answer=142978 
four hundred and fifty-three thousand, four hundred and forty-nine + 302808 =  answer=4617928 
six hundred and twenty-two thousand, one hundred and thirty-two + 402250 =  answer=682237152 
two hundred and seventy-five thousand, seven hundred and fifty-seven + 927683 =  answer=100435857 
822362 + eight hundred and thirty-five thousand, eight hundred and nine =  answer=904171 
828878 + four hundred and twenty-seven thousand and nine =  answer=901647 
six hundred and sixty-three thousand, nine hundred and eighty-six + 764716 =  answer=69398206 
646469 + eight hundred and forty-one thousand and eighty-four =  answer=708323 
two hundred and fifty-seven thousand, five hundred and sixty-nine + 976844 =  answer=3021599 
698743 + nine hundred and fifty-seven thousand, eight hundred and twenty-seven =  answer=7021957 
426920 + seven hundred and fifty-four thousand, nine hundred and twenty-one =  answer=431780 
nine hundred and sixty-four thousand, nine hundred and thirty-six + 567234 =  answer=981059936 
427384 + eight hundred and fifteen thousand and twenty =  answer=490164 
four hundred and forty-nine thousand and eighty-six + 424783 =  answer=490168986 
six hundred and nine thousand, four hundred and ninety-two + 714944 =  answer=682336 
three hundred and eighty-three thousand, eight hundred and twenty-eight + 249117 =  answer=3830828+249117=4029995 
six hundred and seventy-two thousand, five hundred and twenty-one + 851343 =  answer=672052521+851343=753185754 
895486 + six hundred and one thousand, one hundred and ninety-one =  answer=1072387 
969140 + two hundred and ninety-one thousand, six hundred and eighteen =  answer=1287348 
312728 + four hundred and twenty thousand, three hundred and eight =  answer=420389 
one hundred and seventeen thousand, nine hundred and six + 167515 =  answer=289406 
eight hundred and forty thousand, two hundred and two + 918325 =  answer=1046727 
749078 + three hundred and twenty-nine thousand, six hundred and forty-three =  answer=812368 
nine hundred and one thousand, six hundred and ninety-nine + 889761 =  answer=9016998897 
six hundred and fifty-two thousand, two hundred and eleven + 304531 =  answer=6857534 
330386 + nine hundred and one thousand, nine hundred and sixty-nine =  answer=429975 
two hundred and three thousand, five hundred and forty-two + 173032 =  answer=204896742 . 
two hundred and eighty-nine thousand and eighty-nine + 874664 =  answer=3109283 
seven hundred and sixty-three thousand, seven hundred and thirty + 523848 =  answer=763730+523848=1287578 
231814 + three hundred and fifty-seven thousand, five hundred and ninety-one =  answer=269075 
846692 + seven hundred and twenty-nine thousand, seven hundred and forty-four =  answer=870316 
618238 + three hundred and thirty-four thousand and sixty-one =  answer=947000 
eight hundred and seventy-eight thousand, six hundred and eighty + 546917 =  answer=8780684. 
289050 + four hundred and eighty-five thousand, six hundred and three =  answer=347613 
477879 + one hundred and eighty-eight thousand and seventy-five =  answer=606652 
eight hundred and fifty-one thousand, five hundred and forty-five + 283897 =  answer=904612 
three hundred and eighty-one thousand, seven hundred and twenty-three + 123455 =  answer=4089755 
five hundred and eleven thousand, nine hundred and two + 793549 =  answer=6012819 
163639 + eight hundred and twenty-nine thousand, three hundred and three =  answer=208742 
437528 + seven hundred and forty-three thousand, five hundred and thirty-one =  answer=491960 
nine hundred and forty-four thousand, three hundred and thirteen + 979548 =  answer=10233813 
726117 + five hundred and thirty-three thousand, seven hundred and sixty-nine =  answer=809486 
two hundred and thirty-one thousand, five hundred and seventy-one + 768964 =  answer=231057805. 
382333 + four hundred and eighty-three thousand, seven hundred and eighty-nine =  answer=4109678 
453894 + four hundred and forty-four thousand, seven hundred and thirty-nine =  answer=497261 
241610 + five hundred and ninety-four thousand, seven hundred and eighty-two =  answer=379882 
509238 + nine hundred and seventy thousand, three hundred and ninety-four =  answer=676128 
514300 + seven hundred and sixty-four thousand, four hundred and four =  answer=780764 
522303 + eight hundred and thirteen thousand, three hundred and twenty-three =  answer=614897 
nine hundred and three thousand, nine hundred and ten + 632631 =  answer=90399483 
767539 + two hundred and five thousand, two hundred and fourteen =  answer=820143 
388782 + seven hundred and twelve thousand, four hundred and sixty-four =  answer=410962 
779925 + four hundred and twelve thousand, eight hundred and twenty =  answer=8160432 
four hundred and eighty-eight thousand, six hundred and ninety-five + 470349 =  answer=5281649 
431585 + eight hundred and thirty-six thousand, one hundred and ninety-seven =  answer=492670836 
one hundred and forty-six thousand, two hundred and fifty-eight + 208980 =  answer=346178 
387239 + one hundred and seventy-seven thousand, four hundred and forty-nine =  answer=406182 
602085 + four hundred and five thousand, eight hundred and fifty-five =  answer=643135 
321363 + six hundred and twenty-seven thousand, seven hundred and twenty-six =  answer=390489 
666278 + seven hundred and seventy-eight thousand, one hundred and twenty =  answer=743905 
662184 + nine hundred and sixty-eight thousand, five hundred and thirty-one =  answer=739045 
three hundred and thirty-nine thousand, three hundred and eighty + 510308 =  answer=4296788 
385709 + nine hundred and sixty-six thousand, one hundred and forty-nine =  answer=412619 
four million, one hundred and eighty-three thousand, three hundred and fifty-four + 9016604 =  answer=42833554 
four million, seven hundred and forty-seven thousand, six hundred and forty-one + 3155969 =  answer=480723656 
7137648 + five million, seven hundred and thirty thousand, two hundred and fifty-one =  answer=9200979 
nine million, eight hundred and sixty-five thousand, two hundred and fifty-nine + 7123619 =  answer=9865259+7123619=10588478 
5596297 + three million, seven hundred and ninety-three thousand, seven hundred and seventy-four =  answer=8304171 
five million, seven hundred and thirty thousand, nine hundred and eighty-one + 8311375 =  answer=64029166 
1856030 + eight million, five hundred and fifty thousand, two hundred and sixty-five =  answer=94275565 
two million, two hundred and thirty thousand, three hundred and ninety-eight + 6685158 =  answer=23039898+6685158=29724456 
8895336 + eight million, two hundred and seventy-seven thousand, five hundred and forty-four =  answer=9702814 
seven million, four hundred and ninety-three thousand, six hundred and sixty-nine + 7894973 =  answer=seven million, five hundred and eighty-one million, one hundred and seventeen thousand, three hundred and sixty-nine. 
five million, three hundred and seventy-one thousand, three hundred and ninety-seven + 8455163 =  answer=50379258 
7250502 + three million, three hundred and twenty-seven thousand, three hundred and sixty-five =  answer=8316947 
9951635 + two million, seven hundred and ninety-seven thousand, seven hundred and fifty-five =  answer=127804885 
two million, eight hundred and sixty-two thousand, five hundred and sixty-five + 7937299 =  answer=28620567 
1743918 + two million, nine hundred and thirty-three thousand, six hundred and seventy-six =  answer=2063284 
4948714 + five million, five hundred and seventy-one thousand, seven hundred and fifty-four =  answer=50022654 
two million, four hundred and forty thousand, five hundred and eighty + 6649879 =  answer=201344858 
five million, one hundred and forty-three thousand and seventy-two + 7209236 =  answer=5143798 
two million, thirty-two thousand and sixty-nine + 5436283 =  answer=209710929 
three million, six hundred and sixty-five thousand, one hundred and eighty-four + 8544176 =  answer=39028459 
2977040 + two million, six hundred and sixty-four thousand and seventy-eight =  answer=3186478 
5389870 + eight million, nine hundred and eighty-six thousand, eight hundred and thirty-three =  answer=6218483 
1452337 + eight million, two hundred and thirty-one thousand, two hundred and thirty-eight =  answer=8096538 
1710524 + seven million, nine hundred and sixty-nine thousand, four hundred and forty-four =  answer=8963444 
8764920 + seven million, four hundred and three thousand, four hundred and sixty-four =  answer=13461064 
3637965 + five million, three hundred and eighty-six thousand, six hundred and thirty-four =  answer=4021889 
two million, three hundred and seventy-eight thousand, three hundred and twenty-five + 5210392 =  answer=2378325+5210392=7588647 
2787261 + eight million, four hundred and thirty-five thousand, two hundred and twelve =  answer=3094093 
5235161 + four million, ninety-one thousand, eight hundred and eighty-nine =  answer=5708949 
8820390 + one million, four hundred and forty-two thousand, eight hundred and eighty-eight =  answer=10264778 
9120720 + five million, three hundred and seventy-four thousand, nine hundred and twenty-six =  answer=9438696 
5270854 + one million, six hundred and twelve thousand, seven hundred and thirteen =  answer=6931557 
2278496 + two million, nine hundred and ninety-seven thousand, four hundred and thirty-one =  answer=3001257 
9208524 + one million, three hundred and seventy-seven thousand, six hundred and twenty-one =  answer=10673778 
eight million, nine thousand, two hundred and fifty + 5792108 =  answer=9093648 
four million, nine hundred and seventy thousand, six hundred and seventy-four + 7189686 =  answer=49706820 
two million, three hundred and seventy-eight thousand, nine hundred and ninety-five + 5548503 =  answer=237916989 
three million, five hundred and eighty-four thousand, one hundred and twenty-four + 9769388 =  answer=40128104 
nine million, seven hundred and two thousand, five hundred and nine + 9316226 =  answer=98077487 
1200973 + three million, eight hundred and seventy-three thousand and forty-three =  answer=14873762 
two million, six hundred and fifty-three thousand, nine hundred and sixty-three + 5303101 =  answer=26984733 
four million, one hundred and fifty-two thousand and thirty-three + 9317186 =  answer=42015233+9317186=43952599 
9839560 + three million, eight hundred and fifty-one thousand, eight hundred and eighty-three =  answer=124783883 
four million, one hundred and four thousand and ninety-nine + 3538672 =  answer=4104999+3538672=4458671 
2363019 + eight million, seven hundred and eighty-four thousand, eight hundred and sixty-three =  answer=2448752 
4747983 + three million, ninety-three thousand, four hundred and thirty-five =  answer=4840218 
5866300 + nine million, five hundred and sixty-four thousand, four hundred and twenty-two =  answer=9564422 
9163804 + two million, two hundred and sixty-nine thousand, three hundred and thirty-nine =  answer=9270193 
one million, seven hundred and five thousand, four hundred and eight + 6354958 =  answer=17054863 
9595447 + eight million, seven hundred and fourteen thousand, two hundred and seventy-nine =  answer=10876213 
seven million, three hundred and five thousand, one hundred and eighty-two + 3183844 =  answer=7305182+3183844=9488626 
seven million, one hundred and twenty-four thousand, four hundred and seven + 2705368 =  answer=71444918 
one million, five hundred and forty thousand, four hundred and forty-five + 2912358 =  answer=one million, six hundred and twenty-three million, seven hundred and eighty-eight thousand, nine hundred and ninety-five. 
four million, eight hundred and eighty-two thousand, nine hundred and forty-four + 7547573 =  answer=48910266 
3600791 + five million, one hundred and seventy-eight thousand, four hundred and eight =  answer=4288778 
five million, eight hundred and fifty-seven thousand, six hundred and ninety-five + 4885140 =  answer=63729955 
3296883 + eight million, five hundred and eighty-four thousand, two hundred and nine =  answer=4170262 
seven million, one hundred and thirty-four thousand, five hundred and twenty-two + 2346019 =  answer=78405519 
seven million, five hundred and forty-seven thousand, six hundred and twenty-two + 8791260 =  answer=83488852 
4148626 + four million, nine hundred and fifty-two thousand, two hundred and nine =  answer=4903785 
1762804 + nine million, two hundred and forty-nine thousand, five hundred and seventy-one =  answer=93249571 
six million, one hundred and fifty-seven thousand, one hundred and ninety-two + 4678023 =  answer=61579492+4678023=61946715 
three million, nine hundred and forty-nine thousand, six hundred and forty-two + 3886962 =  answer=40179082 
5537952 + four million, four hundred thousand, one hundred and ninety =  answer=60184419 
two million, five hundred and thirty-one thousand, five hundred and seventy-eight + 5119263 =  answer=200874288 
eight million, three hundred and seventy-five thousand, four hundred and thirty-one + 1358692 =  answer=84075431 
1193183 + four million, six hundred and thirty-seven thousand, one hundred and two =  answer=4702613 
6358317 + two million, three hundred and forty-one thousand, one hundred and ninety-one =  answer=6402908 
8760859 + nine million, seven hundred and twenty-three thousand, five hundred and eighty-five =  answer=18342383 
9091386 + six million, six hundred and eighty-one thousand, three hundred and forty-one =  answer=9724187 
7701234 + eight million, six hundred and fifty-eight thousand and sixty-eight =  answer=86586868 
two million, one hundred and ninety-three thousand, eight hundred and sixty-seven + 8789712 =  answer=304657987 
7439803 + five million, three hundred and twenty-one thousand, eight hundred and seventy-seven =  answer=126125328 
six million, two hundred and one thousand and fifty-eight + 6658704 =  answer=66921538 
7798662 + five million, eight hundred and sixty thousand, one hundred and eighty-nine =  answer=8304541 
eight million, six hundred and fifty thousand, two hundred and five + 1553796 =  answer=8650205+1553796=9204061 
8414320 + seven million, five thousand, eight hundred and thirteen =  answer=9267883 
two million, five hundred and thirty-one thousand and seventy-three + 5484772 =  answer=3019629573 
nine million, one hundred and eighty-five thousand, one hundred and sixty-three + 6604424 =  answer=9185163+6604424=9785587 
six million, four hundred and thirty-eight thousand, two hundred and twenty-six + 2770102 =  answer=6438226+2770102=6708328 
2781476 + three million, two hundred and thirty-three thousand, seven hundred and thirty-nine =  answer=3009085 
eight million, six hundred and ninety-eight thousand, nine hundred and thirty + 6373143 =  answer=908232759 
nine million, one hundred and twenty-five thousand, nine hundred and ten + 6147110 =  answer=92383110 
3369844 + eight million, nine hundred and eight thousand and twenty-nine =  answer=12078263 
3765928 + four million, six hundred and eighty-six thousand, four hundred and sixteen =  answer=40128146 
eight million, two hundred and seventy-five thousand, eight hundred and fifteen + 6517764 =  answer=90823598 
nine million, four hundred and forty-four thousand, six hundred and sixty-nine + 5712079 =  answer=94468359 
9370678 + two million, four hundred and eighty-six thousand, two hundred and sixty-seven =  answer=124852486 
3068980 + nine million, four hundred and forty thousand and sixty-one =  answer=12473461 
7232519 + four million, five hundred and seventy-nine thousand, three hundred and fifty-five =  answer=8064864 
6676968 + eight million, eight hundred and seventy thousand, nine hundred and ninety-seven =  answer=14320655 
6067249 + nine million, two hundred and seventy-two thousand, one hundred and thirty-four =  answer=6138015 
six million, three hundred and forty-one thousand, four hundred and seventy-eight + 1689117 =  answer=6341478+1689117=7020595 
one million, six hundred and thirty-one thousand, four hundred and ninety-four + 2105774 =  answer=3896818 
9921335 + six million, nine hundred and fifteen thousand, six hundred and thirty-four =  answer=69984079 
2692239 + four million, one hundred and ninety-six thousand and twenty =  answer=4198029 
nine million, eight hundred and thirty-one thousand, six hundred and ten + 7234532 =  answer=98316013 
one million, eight hundred and fourteen thousand, eight hundred and twelve + 6181069 =  answer=23479535 
3569728 + three million, one hundred and fifty-eight thousand, three hundred and six =  answer=4015284 
seven million, two hundred and nineteen thousand, seven hundred and thirty-one + 2900511 =  answer=7348620731 
5557230 + two million, seven hundred and twenty-five thousand, three hundred and ninety-eight =  answer=8946198 
1522573 + three million, eighty-seven thousand, eight hundred and ninety-two =  answer=1809462 
4542873 + five million, one hundred and fifty-four thousand, two hundred and fifty-seven =  answer=90163287 
4176799 + three million, four hundred and seventy-one thousand, eight hundred and eighty-six =  answer=4208359 
2233132 + eight million, eight hundred and seventy-seven thousand, nine hundred and fifty-two =  answer=240895752 
3212499 + eight million, eight hundred and fourteen thousand, eight hundred and thirteen =  answer=8088413 
three million, three hundred and eighty-five thousand, nine hundred and thirty + 6077824 =  answer=33917787 
two million, three hundred and forty-eight thousand, eight hundred and thirty-three + 5947542 =  answer=30186275 
eight million, two hundred and thirty-seven thousand, one hundred and nineteen + 9480710 =  answer=8237199 
5314278 + nine million, three hundred and ninety-one thousand, four hundred and ninety-eight =  answer=90393948 
6855219 + six million, seven hundred and fifty-three thousand, four hundred and seventy-three =  answer=7430262 
7442445 + one million, nine hundred and seventy-nine thousand, three hundred and two =  answer=8136907 
3396744 + six million, one hundred and three thousand, two hundred and seventy-six =  answer=10280016 
eight million, eight hundred and seventy-five thousand, one hundred and ninety-three + 1892531 =  answer=9076464 
four million, six hundred and seventy-seven thousand, two hundred and fifty-seven + 3022921 =  answer=46772581 
8022683 + eight million, one hundred and forty-four thousand, nine hundred and six =  answer=9147049 
5934935 + three million, four hundred and twenty-five thousand, five hundred and twenty-nine =  answer=6271804 
nine million, two hundred and ninety-six thousand, four hundred and sixty-four + 2136124 =  answer=90071588 
2990919 + seven million, two hundred and fifty-seven thousand, seven hundred and nineteen =  answer=87436856 
8374176 + four million, six hundred and thirty-nine thousand, one hundred and fifty-six =  answer=9207587 
8140001 + seven million, six hundred and ninety-eight thousand, three hundred and forty-two =  answer=793698342 
three million, seven hundred and two thousand, two hundred and sixty-eight + 8656348 =  answer=37022689 
6742276 + eight million, fifty-six thousand, eight hundred and nineteen =  answer=8093125 
6408967 + six million, nine hundred and four thousand, six hundred and twenty-eight =  answer=6413296 
9592278 + six million, nine hundred and eight thousand, five hundred and seventeen =  answer=6092278 
seven million, two hundred and forty-eight thousand, nine hundred and eighty-one + 4324426 =  answer=701895081 
2325546 + two million, four hundred and thirty thousand, nine hundred and ten =  answer=2325546+2000000=4325946 
nine million, three hundred and forty-five thousand, three hundred and sixty-five + 3997897 =  answer=102468525 
seven million, eight hundred and nine thousand, six hundred and eighteen + 3213677 =  answer=8090646 
four million, five hundred and forty-five thousand, one hundred and twenty-four + 7442485 =  answer=401936795 
four million, seven thousand, seven hundred and eleven + 7972322 =  answer=48077713 
nine million, five hundred and eighty-five thousand, four hundred and twenty-three + 5913766 =  answer=985423+5913766=6008999 
two million, forty-four thousand, four hundred and seventeen + 5460580 =  answer=2147483597 
3269369 + one million, nine hundred and forty-seven thousand, six hundred and ninety-one =  answer=4071859 
8950736 + eight million, three hundred and forty-five thousand, five hundred and seventy-one =  answer=9124288 
two million, one hundred and four thousand, two hundred and thirty-five + 7859702 =  answer=21043237 
4549526 + nine million, eight hundred and twenty-one thousand, eight hundred and sixteen =  answer=13807827 
3352518 + one million, three hundred and sixty-one thousand and twenty-nine =  answer=4690789 
4586839 + nine million, two hundred and fifty-five thousand, five hundred and thirty-five =  answer=10278888 
one million, eight hundred and thirty thousand, four hundred and forty-nine + 1125223 =  answer=one million, nine hundred and twenty-five thousand, six hundred and seventy-three 
1532460 + one million, six hundred and sixty-three thousand, eight hundred and sixty-three =  answer=17987463 
8749097 + eight million, nine hundred and fifty thousand, seven hundred and ten =  answer=9632197 
7952522 + one million, eighty-three thousand, seven hundred and seventy-five =  answer=8031477 
two million, four hundred and ninety-four thousand, four hundred and ninety-one + 6429986 =  answer=30174507 
