zero + zero =  answer= zero 
three thousand, eight hundred and three + three thousand, eight hundred and twenty-nine =  answer= six thousand, six hundred and thirty-two  
nine thousand, six hundred and twenty-five + two thousand, three hundred and eighty-three =  Answer= twelve thousand, nine hundred and fifty-eight. 
one thousand, eight hundred and forty + eight thousand, eight hundred and eighty =  answer= nine million, six hundred and twenty-eight thousand, eight hundred and eighty. 
three thousand, seven hundred and sixty-one + seven thousand, five hundred and three =  Answer= ten thousand, two hundred and sixty-four. 
five thousand, nine hundred and fifty-eight + eight thousand, five hundred and ninety-eight =  Answer= thirteen thousand, four hundred and ninety-six. 
three thousand, seven hundred and sixteen + three thousand, three hundred and ninety-two =  answer= six thousand, four hundred and seventy-eight  
seven thousand, two hundred and twenty-six + eight thousand, three hundred and thirty-seven =  Answer= fifteen thousand, five hundred and sixty-three  
seven thousand, six hundred and fifteen + seven thousand, two hundred and seventy-eight =  Answer= fourteen thousand, eight hundred and thirty-three  
two thousand, nine hundred and thirty-six + four thousand, three hundred and fifty-one =  answer= six thousand, twenty-nine hundred and eighty-seven  
two thousand, six hundred and twenty-six + two thousand, eight hundred and fifty-six =  answer= four thousand, five hundred and eighty-two 
one thousand, six hundred and forty-eight + two thousand, eight hundred and eighty-four =  answer= three thousand, five hundred and thirty-two  
six thousand, five hundred and twenty-two + nine thousand, nine hundred and ninety-six =  Answer= fifteen thousand, four hundred and twelve. 
eight thousand, eight hundred and nineteen + five thousand, four hundred and seventy-four =  Answer= thirteen thousand, two hundred and eighty-three 
seven thousand, five hundred and eighty-six + one thousand, eight hundred and eighty-one =  Answer= nine thousand, four hundred and seventy-seven  
three thousand, four hundred and eight + six thousand, eight hundred and sixty-two =  answer= nine thousand, twelve hundred and forty-eight 
two thousand, four hundred and fifty-four + six thousand, two hundred and twenty-eight =  answer= eight thousand, six hundred and seventy-two 
eight thousand, four hundred and seventy-six + seven thousand, five hundred and twenty-seven =  Answer= fifteen thousand, nine hundred and ninety-three  
eight thousand, three hundred and ninety-eight + eight thousand, eight hundred and forty-eight =  answer= sixteen thousand, two hundred and ninety-six 
one thousand, nine hundred and thirty-four + seven thousand, seven hundred and forty =  Answer= eight thousand, six hundred and seventy-four  
one thousand, eight hundred and eighty-six + five thousand, three hundred and forty-six =  Answer= six thousand, two hundred and thirty-two. 
eight thousand, seven hundred and thirty-seven + five thousand, three hundred and nineteen =  Answer= thirteen thousand, one hundred and sixty-six  
seven thousand, nine hundred and ninety + four thousand, eight hundred and nine =  Answer= twelve thousand, seven hundred and ninety-nine. 
seven thousand, two hundred and twenty-seven + six thousand, six hundred and ten =  Answer= thirteen thousand, eight hundred and twenty-seven  
six thousand, one hundred and twenty-nine + six thousand, nine hundred and thirty-four =  Answer= twelve thousand, two hundred and fifty-three  
five thousand, six hundred and thirty-eight + eight thousand, three hundred and eleven =  Answer= thirteen thousand, nine hundred and forty-nine 
two thousand, four hundred and seventy-seven + five thousand, four hundred and ninety =  answer= seven thousand, eight hundred and sixty-seven  
two thousand, nine hundred and twenty-three + nine thousand, one hundred and fifty-eight =  answer= twelve thousand, five hundred and eighty-one 
six thousand, two hundred and thirty-two + seven thousand, nine hundred and thirty-seven =  Answer= thirteen thousand, one hundred and twenty-nine. 
seven thousand, three hundred and eighty-seven + four thousand, seven hundred and twenty-seven =  Answer= twelve thousand, one hundred and ten. 
two thousand, two hundred and thirty-nine + three thousand, two hundred and eighty-six =  answer= five thousand, four hundred and twenty-five 
nine thousand, nine hundred and fifty-six + two thousand, two hundred and sixty-four =  Answer= twelve thousand, two hundred and twenty. 
seven thousand and ninety-one + seven thousand, six hundred and twenty-six =  Answer= fourteen thousand, three hundred and nineteen. 
nine thousand and forty-two + two thousand, seven hundred and forty-one =  Answer= twelve thousand, four hundred and eighty-three  
two thousand, four hundred and twenty-three + seven thousand, five hundred and thirty-nine =  answer= nine thousand, nine hundred and fifty-three 
four thousand, one hundred and twenty-nine + seven thousand, eight hundred and seventeen =  Answer= twelve thousand, nine hundred and fifty-six. 
four thousand, seven hundred and forty-two + five thousand, five hundred and twenty-five =  Answer= nine thousand, two hundred and sixty-seven  
one thousand, three hundred and five + three thousand, seven hundred and fifty-five =  answer= four thousand, eight hundred and sixty. 
one thousand, eight hundred and forty-one + six thousand, four hundred and seventy =  answer= seven thousand, two hundred and fifty-seven  
four thousand, two hundred and thirty-nine + two thousand, eight hundred and thirteen =  answer= six thousand, two hundred and forty-two 
five thousand, six hundred and eight + two thousand, five hundred and twenty-five =  answer= seven thousand, one hundred and eighty-three 
one thousand, five hundred and ninety-four + five thousand and four =  answer= six thousand, nine hundred and forty-nine  
seven thousand, two hundred and seventy-two + seven thousand, nine hundred and thirty =  Answer= fourteen thousand, one hundred and ninety-four  
two thousand and nine + seven thousand, one hundred and twenty-four =  answer= nine thousand, eight hundred and forty-four  
five thousand, four hundred and sixty-three + one thousand, four hundred and twelve =  answer= six thousand, eight hundred and twenty-five  
nine thousand, eight hundred and thirty-six + three thousand and ninety-five =  Answer= twelve thousand, one hundred and twenty-one  
eight thousand, nine hundred and forty-one + seven thousand, three hundred and forty-six =  Answer= fifteen thousand, twelve hundred and eighty-seven  
eight thousand, six hundred + two thousand, three hundred and twenty-three =  answer= ten thousand, nine hundred and twenty-three  
one thousand, eight hundred and twenty-four + five thousand, two hundred and ninety-two =  answer= six thousand, ten hundred and eleven 
six thousand and twenty-four + four thousand and sixteen =  answer= ten thousand seven hundred and eighty-eight 
three thousand, one hundred and sixty-one + three thousand, seven hundred and sixty-nine =  answer= six thousand, eight hundred and twenty-nine 
five thousand, three hundred and twenty-one + nine thousand, three hundred and eighty-two =  answer= twelve thousand, six hundred and forty-three 
seven thousand, three hundred and sixty-seven + nine thousand, five hundred and sixty-five =  Answer= sixteen thousand, eight hundred and thirty-two  
one thousand, four hundred and twelve + two thousand, three hundred and fifty-seven =  answer= three thousand, seven hundred and eighty-nine 
eight thousand and eighty-six + two thousand, four hundred and twenty-eight =  eight thousand and eighty-six plus two thousand, four hundred and twenty-eight equals ten thousand, three hundred and one. 
seven thousand, two hundred and thirty-seven + eight thousand, seven hundred and seventy-two =  Answer= fifteen thousand, nine hundred and sixty-nine. 
five thousand, one hundred and nine + two thousand, one hundred and fifty-six =  answer= seven thousand, two hundred and sixty-five 
six thousand, five hundred and seventy-three + four thousand, nine hundred and ninety-four =  seven thousand, four hundred and sixty-seven 
four thousand, five hundred and fifty-seven + one thousand and nine =  answer=five thousand six hundred and ninety-six 
eight thousand, eight hundred and fifteen + seven thousand, four hundred and seventy-one =  Answer=fifteen thousand, twelve hundred and twenty-six. 
one thousand and twenty + nine thousand, six hundred and eighty-eight =  answer= ten thousand and ninety-six 
eight thousand, eight hundred and sixty-four + five thousand, two hundred and forty-one =  Answer= thirteen thousand, six hundred and seventy-five  
three thousand, three hundred and fifty-six + three thousand, nine hundred and fifty-five =  answer= six thousand, three hundred and eighty-one  
one thousand, six hundred and sixty-one + three thousand, two hundred and seventy-six =  answer= four thousand, eight hundred and thirty-seven  
eight thousand, eight hundred and thirty-three + four thousand, three hundred and two =  eight thousand, eight hundred and thirty-three plus four thousand, three hundred and two equals twelve thousand, one hundred and thirty-five. 
six thousand, nine hundred and ninety-eight + eight thousand, nine hundred and thirteen =  Answer= fourteen thousand, nine hundred and twenty-one. 
one thousand, eight hundred and thirty-three + three thousand, three hundred and sixty-four =  answer= four thousand, one hundred and ninety-seven  
six thousand, six hundred and ninety-nine + five thousand, six hundred and thirty-two =  seven thousand, two hundred and twenty-one 
five thousand, five hundred and eighty-six + five thousand, eight hundred and ninety-four =  answer= ten thousand, four hundred and seventy-eight 
seven thousand, three hundred and twenty + seven thousand and seventy-one =  Answer= fourteen thousand, six hundred and ninety-two  
four thousand and six + six thousand, five hundred and eighty-four =  Answer= ten thousand one hundred and ninety-two. 
five thousand, three hundred and sixty-nine + five thousand and twenty-five =  answer= ten thousand, three hundred and ninety-four  
nine thousand, eight hundred and eighty-one + seven thousand, six hundred and seventy-four =  Answer= fifteen thousand, four hundred and fifty-five  
six thousand, one hundred and fifty-four + six thousand, five hundred and fifty-four =  answer= twelve thousand, six hundred and ten four  
one thousand, one hundred and forty-six + one thousand, seven hundred and ninety-two =  answer= two thousand, eight hundred and thirty-eight 
eight thousand, five hundred and forty-four + three thousand, five hundred and sixty-eight =  Answer= eleven thousand, ten hundred and ninety-two. 
seven thousand, nine hundred and forty-two + eight thousand, four hundred and twenty-seven =  Answer= fifteen thousand, three hundred and sixty-nine. 
nine thousand, five hundred and four + eight thousand, one hundred and forty-nine =  Answer= seventeen thousand, six hundred and fifty-three  
four thousand, seven hundred and thirty-two + three thousand, four hundred and twenty-two =  answer=seven thousand, one hundred and fifty-four 
six thousand, five hundred and ninety-four + eight thousand, eight hundred and eighty-eight =  Answer= fourteen thousand, nine hundred and seventy-two. 
nine thousand, two hundred and fifty-four + seven thousand, nine hundred and eighty-four =  Answer= sixteen thousand, twenty-five. 
five thousand, three hundred and forty-eight + seven thousand, nine hundred and ninety-one =  Answer= twelve thousand, two hundred and thirty-nine 
five thousand, six hundred and fifty-nine + one thousand, two hundred and ninety-three =  answer= six thousand, eight hundred and forty-two  
five thousand and forty-seven + five thousand, nine hundred and ninety-nine =  Answer= ten thousand, four hundred and forty-six  
four thousand and fifty + two thousand and ninety-six =  answer= six thousand five hundred and forty-eight  
six thousand, four hundred and seventy-seven + eight thousand, five hundred and sixty-nine =  Answer= thirteen thousand, nine hundred and forty-six. 
eight thousand, two hundred and sixty-one + three thousand, eight hundred and seventy-seven =  answer= eleven thousand, one hundred and thirty-eight  
six thousand, eight hundred and fifty-nine + eight thousand, nine hundred and thirty-four =  Answer= fourteen thousand, seven hundred and ninety-three  
nine thousand, three hundred and eighty-nine + four thousand and sixty-nine =  Answer= thirteen thousand, seven hundred and fifty-eight. 
nine thousand and thirty-three + two thousand, three hundred and one =  Answer= eleven thousand, three hundred and three. 
three thousand, eight hundred and ten + two thousand, two hundred and fifty =  answer= five thousand, nine hundred and sixty-five  
three thousand, four hundred and sixty-two + eight thousand, three hundred =  answer= twelve thousand, seven hundred and twenty-two  
eight thousand, seven hundred and fifty-three + seven thousand, two hundred and ninety-nine =  Answer= fifteen thousand, nine hundred and forty-two. 
two thousand, three hundred and twenty-two + four thousand, two hundred and forty-six =  answer= six thousand, five hundred and sixty-eight 
six thousand and eighty-five + four thousand, six hundred and seventy-three =  Answer= ten thousand, five hundred and sixty-eight. 
six thousand, three hundred and seven + seven thousand, one hundred and twenty-three =  Answer= thirteen thousand, four hundred and twenty-seven  
nine thousand, seven hundred and ninety-three + six thousand, two hundred and ninety-one =  Answer= thirteen thousand, nine hundred and eighty-four 
three thousand, eight hundred and forty-two + one thousand and two =  answer= four thousand, nine hundred and sixty-three 
five thousand, nine hundred and sixty-two + eight thousand, three hundred and eighteen =  Answer= thirteen thousand, two hundred and twenty-eight. 
thirty-two thousand and sixty-two + ninety-nine thousand, eight hundred and forty-two =  Answer= four million one hundred and twenty-four thousand six hundred and eighty-four 
fourteen thousand and seventy-five + thirty-seven thousand, one hundred and twenty-six =  Answer= forty-one thousand seven hundred and ninety-one  
ninety-eight thousand, three hundred and ninety-five + sixty-six thousand, three hundred and ninety-nine =  one million two hundred eighty-three thousand nine hundred ninety-four 
ninety thousand, five hundred and twenty-five + ninety-nine thousand, two hundred and eighty-four =  Answer= one million, nine hundred and seventeen thousand, seven hundred and ten. 
thirty thousand, eight hundred and two + ninety-one thousand, five hundred and fifteen =  Answer= four million, one hundred and ten thousand, five hundred and seventeen. 
twenty thousand, one hundred and twenty-seven + sixty-eight thousand and ninety-nine =  Answer= eighty-one million, seven hundred and fifty-six. 
eighty-four thousand, five hundred and thirty-three + twenty thousand, three hundred and seventeen =  Answer= one hundred and ten thousand, eight hundred and fifty-seven. 
sixty-three thousand, two hundred and ninety-four + ninety thousand, two hundred and eighty =  answer= seven hundred and twenty-nine million, four hundred and seventy-two thousand, five hundred and eighty-eight. 
twenty-seven thousand, four hundred and eighty-four + seventy-three thousand, two hundred and seventy-seven =  Answer= thirty-five million, six hundred and sixty-one. 
eighty-seven thousand, three hundred and eighty-seven + thirty-five thousand, nine hundred and forty =  Answer= one hundred and twenty-two million, two hundred and seventeen thousand, seven hundred and ninety-seven. 
ninety-five thousand, two hundred and fifty + ten thousand, two hundred and fifty-seven =  one million, four hundred and eighty-two thousand, seven hundred and fifty-seven 
eighty-four thousand, one hundred and fifty-nine + ninety-four thousand, five hundred and forty =  answer= nine hundred and thirty-eight thousand, six hundred and ten. 
twenty-six thousand, eight hundred and eighty-four + thirty-five thousand, eight hundred and twenty-four =  Answer= sixty-one million, six hundred and ten thousand, four hundred and forty-eight. 
ninety-one thousand, seven hundred and thirty-four + ninety-two thousand, one hundred and thirty-nine =  Answer= nine hundred and twenty-three thousand, eight hundred and sixty-three. 
forty-eight thousand, nine hundred and seventy-eight + thirty-three thousand, two hundred and five =  Answer= eighty-one million, one hundred and twenty-five thousand, four hundred and seven. 
fifty-six thousand, eight hundred and eighteen + sixty-one thousand, nine hundred and forty-three =  Answer= one million two hundred and seventy-eight thousand seven hundred and twenty-one. 
eighty-seven thousand, five hundred and thirty-one + forty-four thousand and thirty-six =  Answer= one hundred and twenty-eight thousand, nine hundred and sixty-seven. 
sixty-five thousand, two hundred and eighty-one + fifty thousand and seven =  answer= one million five hundred and seventeen thousand nine hundred and ninety-eight  
sixty-six thousand, eight hundred and ninety-two + thirty-nine thousand, one hundred and thirty-six =  answer= one million, two hundred and twenty-five thousand, nine hundred and fifty-eight. 
twenty-six thousand, nine hundred and forty-two + forty-nine thousand, nine hundred and forty-four =  Answer= seventy-five million, eight hundred and eighty-six. 
ninety-three thousand, five hundred and thirteen + seventy thousand, one hundred and sixty-one =  Answer= one million, six hundred and eighty-four thousand, six hundred and eighteen. 
forty-eight thousand and forty-seven + ninety-four thousand, seven hundred and ninety =  Answer= five million one hundred and eighty-one thousand nine hundred and seventy-nine. 
sixty thousand, three hundred and forty-three + ninety-two thousand, six hundred and sixty-nine =  seven hundred and twenty-five thousand, nine hundred and eighty-four 
eighty-eight thousand, six hundred and fifty-six + fourteen thousand, eight hundred and three =  Answer= nine hundred and seventeen thousand, five hundred and sixty-nine. 
thirty-nine thousand, five hundred and eighty-eight + seventy-two thousand, nine hundred and fifty-three =  Answer= one hundred and twenty-one million, four hundred and forty-one thousand, seven hundred and ninety-five. 
sixty-five thousand, six hundred and forty + twenty-two thousand, five hundred and sixty-two =  Answer= eighty-eight million, one hundred and ten thousand, eleven hundred and twenty-two. 
eleven thousand, one hundred and sixty-nine + thirty thousand and twenty-seven =  Answer= forty-one thousand, two hundred and ninety-six  
eighty-two thousand, three hundred and ten + sixty-six thousand, six hundred and seventy-six =  Answer= one million, four hundred and ninety-eight thousand, nine hundred and seventy-six. 
ninety-six thousand, three hundred and eighty-two + twenty-eight thousand, six hundred and seventy-five =  one million two hundred and sixty-three thousand nine hundred and forty-seven 
fifty-five thousand, five hundred and sixty-seven + twenty-six thousand, two hundred and ninety-three =  Answer= eighty-one million, seven hundred and seventeen thousand, four hundred and sixty. 
sixty-one thousand, four hundred and forty-three + twenty-three thousand, four hundred and eighty-three =  Answer= one million, two hundred and seventeen thousand, nine hundred and thirty-six. 
fifty-five thousand, nine hundred and sixty-nine + seventeen thousand, eight hundred and sixty-eight =  Answer= one million two thousand seven hundred and ninety-seven. 
twenty-eight thousand, seven hundred and twenty-four + thirty-four thousand, one hundred and ninety =  Answer= sixty-two thousand, eight hundred and twelve. 
seventy thousand, one hundred and eleven + ninety-three thousand, eight hundred and forty-four =  Answer= seven hundred and eighty-five thousand, nine hundred and fifty-five  
seventy-six thousand, seven hundred and sixteen + twenty-five thousand, six hundred and thirty-three =  Answer= one million, two hundred and sixty-one thousand, three hundred and forty-nine. 
sixty-eight thousand, five hundred and thirty-two + eighty-four thousand and fifteen =  Answer= seven hundred and forty-five thousand, nine hundred and fifty-seven  
twenty-eight thousand, eight hundred and eighty-six + fourteen thousand, seven hundred and sixty =  Answer= thirty-two million, five hundred and ninety-four. 
nineteen thousand, eight hundred and fourteen + sixty-six thousand, nine hundred and fifty-seven =  Answer= seventy-five million, seven hundred and forty-one. 
forty-seven thousand, three hundred and seventy-three + fifty-eight thousand, nine hundred and one =  Answer= ninety-five million, two hundred and seventy-four thousand, two hundred and ten. 
nineteen thousand, three hundred and ninety-two + thirty-eight thousand, one hundred and thirty =  Answer= forty-seven million, four hundred and twenty-two thousand, four hundred and thirty-two. 
forty thousand, two hundred and five + eighty-eight thousand, three hundred and twenty-four =  fourty thousand, two hundred and five plus eighty-eight thousand, three hundred and twenty-four equals four million, two hundred and seventeen thousand, five hundred and twenty-nine. 
fifty-two thousand, five hundred and seventeen + thirty-three thousand, five hundred and ninety-one =  Answer= eighty-five thousand, nine hundred and sixty-eight. 
forty-seven thousand, two hundred and thirty + eighteen thousand, one hundred and ninety-seven =  Answer= five million, four hundred and seventy-seven thousand, three hundred and twenty-seven  
thirty-three thousand, six hundred and twenty-three + sixty-seven thousand and thirty-eight =  Answer= ninety-nine million, nine hundred and fifty-one thousand, three hundred and eighty-five. 
sixty-six thousand, three hundred and eighty-eight + eighty-nine thousand, six hundred and two =  seven hundred and fifty-five thousand, nine hundred and ninety. 
thirteen thousand and forty-seven + ninety-five thousand, seven hundred and thirty =  Answer= one million four hundred and seventy-two thousand nine hundred and fifty-five. 
eighty-two thousand, one hundred and fifteen + forty-five thousand, two hundred =  Answer= four hundred and sixty-seven thousand, three hundred and twenty-five. 
sixty-one thousand and eighty-seven + ninety thousand, eight hundred and ninety =  Answer= one million sixy-eight thousand nine hundred and seventy-three. 
eighty thousand, six hundred and fifty-seven + sixty-seven thousand, four hundred =  eighty thousand, six hundred and fifty-seven plus sixty-seven thousand, four hundred equals seven hundred and seventeen thousand, nine hundred and fifty-seven. 
ninety-two thousand, four hundred and forty-six + forty thousand, five hundred and seventy-six =  Answer= one million, three hundred and sixty-eight thousand, nine hundred and twenty-six. 
sixty-eight thousand, three hundred + sixty-nine thousand and forty-seven =  seven hundred thirty-seven thousand four hundred seventy-three  
sixty-nine thousand, six hundred and thirty-seven + twenty-six thousand, two hundred and eighty-seven =  seventy-one million, nine hundred and fourteen 
ninety-one thousand, three hundred and fifty + twenty-five thousand, five hundred and seventy-two =  Answer= one million, two hundred and eighty-six thousand, eight hundred and twenty-seven. 
thirty-six thousand, six hundred and ninety-seven + thirty-five thousand, three hundred and fifty-nine =  answer= seventy-one million, nine hundred and forty-eight. 
eighteen thousand, six hundred and five + forty thousand, three hundred and eighty-two =  Answer= fifty-eight million, nine hundred and ninety-seven. 
ninety-three thousand, nine hundred and ninety-four + ninety-one thousand and seventy-seven =  Answer= one million eighty-five thousand seven hundred and seventy-eight. 
fifteen thousand, four hundred and sixty-eight + seventy-one thousand and five =  Answer= one million, seven hundred and eighty-nine thousand, five hundred and sixty-eight. 
eighty-two thousand, two hundred and twenty-nine + fifty-three thousand, three hundred and sixteen =  Answer= one million, five hundred and sixty-one thousand, five hundred and thirty-five. 
thirty-eight thousand, two hundred + forty-nine thousand, three hundred and fifty =  answer= eighty-seven million, five hundred and twenty-nine thousand, six hundred and fifty. 
ten thousand, four hundred and ninety-six + fifty-six thousand, six hundred and seventy-nine =  Answer= five million, seven hundred and eighty-five thousand, three hundred and seventy-nine. 
twenty-seven thousand, two hundred and sixty-one + sixty-seven thousand, two hundred and fifty-five =  Answer= ninety-four million, four hundred and seventeen thousand, seven hundred and eighty-six. 
forty-two thousand, three hundred and ninety-four + seventy-seven thousand, five hundred and seventy-seven =  answer= four million, two hundred and eighty-nine thousand, nine hundred and seventy-seven. 
thirty-five thousand, seven hundred and nine + sixty-eight thousand and sixteen =  Answer= one hundred and ten thousand, four hundred and seventy-seven. 
forty-six thousand and sixty-one + thirty-six thousand, seven hundred and sixty =  Answer= eighty-three thousand, four hundred and twenty-one  
forty-two thousand, three hundred and sixty-eight + twenty-eight thousand, three hundred and seventeen =  Answer=sixty-one million, six hundred and eighty-five thousand, seven hundred and thirty-three. 
forty-nine thousand, one hundred and fifty-five + fifty-eight thousand, seven hundred and thirty-two =  answer= ninety-seven million, eight hundred and eighty-seven thousand, four hundred and eighty-three. 
eighty-four thousand and nine + sixty-one thousand and five =  answer= one hundred forty-five thousand six  
thirteen thousand, eight hundred and eighty + eighty-three thousand and eighty-nine =  Answer = one million four hundred and seventeen thousand nine hundred and eighty-eight. 
forty-two thousand, one hundred and fourteen + sixty-three thousand, eight hundred and forty =  answer=forty-two thousand, one hundred and twenty-seven 
sixty-eight thousand, five hundred and thirty-six + twenty-four thousand, one hundred and eleven =  Answer= ninety-two million, six hundred and forty-seven thousand, two hundred and fourteen .  
thirty-one thousand, three hundred and eighteen + fifty-seven thousand and sixty-eight =  Answer= eighty-nine million, one hundred and twenty-five thousand, six hundred and ninety-six. 
thirty-nine thousand, nine hundred and fifty-three + seventy-five thousand, six hundred and twenty-one =  Answer= one million, seven hundred and ninety-six thousand, eight hundred and seventy-four. 
thirty-three thousand, five hundred and three + twenty-five thousand, seven hundred and thirty =  Answer= fifty-eight thousand, two hundred and thirty-three. 
fifteen thousand, one hundred and eighty + eighty-six thousand and fifty =  Answer= nine hundred and seventeen thousand, six hundred and thirty-eight. 
sixty thousand, three hundred and one + ninety-two thousand, eight hundred and sixty =  six hundred and seventy-three thousand, eleven hundred and twenty-one  
seventy-nine thousand, four hundred and fifteen + twenty-six thousand, nine hundred and eighteen =  eighty-two thousand, five hundred and thirty-three 
ninety-six thousand, three hundred and sixty-four + thirty-four thousand, two hundred and forty-seven =  Answer= one million, twenty-eight thousand, six hundred and eighty-one. 
forty-five thousand, three hundred and fifty + forty-seven thousand, nine hundred and forty-eight =  Answer= ninety-two thousand, two hundred and ninety-eight. 
eighty-eight thousand, eight hundred and twenty-five + eighty-one thousand and forty-eight =  Answer= one million seven hundred and seventeen thousand four hundred and sixty-three. 
forty-two thousand, one hundred and eleven + eighty thousand, seven hundred and sixty-seven =  answer= four hundred and twenty-nine thousand, nine hundred and seventy-eight  
fifty-one thousand, six hundred and ninety-four + ninety-seven thousand, four hundred and thirty-four =  Answer= one million, five hundred and eighty-two thousand, seven hundred and twenty-eight. 
seventy-eight thousand, five hundred and two + ten thousand and sixty =  eighty-eight thousand, five hundred and twenty-two. 
thirteen thousand, five hundred and eighty-nine + eighty-eight thousand, nine hundred and eighty-nine =  one million, four hundred and seventeen thousand, eight hundred and ninety-one. 
seventy-one thousand, two hundred and twenty-eight + fifty-eight thousand, six hundred and ninety-three =  Answer= one million, seven hundred and eighty-nine thousand, nine hundred and thirty-one. 
eighty-eight thousand, seven hundred and eighty-eight + seventy-nine thousand and sixty-nine =  Answer= nine hundred and fifty-seven million, five hundred and ninety-one. 
twenty-four thousand, three hundred and ninety-five + fifty-two thousand, five hundred and eleven =  Answer= seventy-six million, eight hundred and nine. 
fourteen thousand, six hundred and thirteen + seventy-seven thousand, five hundred and one =  Answer= ninety-one million, seven hundred and eighty-four thousand, five hundred and twelve. 
seventy-one thousand, two hundred and fifty-seven + forty-seven thousand, two hundred and eighty-six =  Answer= one million, four hundred and twenty-eight thousand, five hundred and thirty-three. 
thirty-nine thousand and ten + twenty thousand, four hundred and forty-one =  Answer= fifty-nine thousand, four hundred and forty-one. 
forty-one thousand, one hundred and sixteen + thirteen thousand, six hundred and forty-nine =  Answer=forty-two million, seven hundred and eighty-five thousand, two hundred and fifty-six. 
twenty-six thousand, six hundred and twenty-six + nineteen thousand, five hundred and seven =  Answer=forty-five thousand, one hundred and eighty-three 
seventy-three thousand, five hundred and nine + sixty-nine thousand, seven hundred and sixty-six =  eight hundred forty-two thousand, two hundred and sixty-five 
sixty-two thousand, three hundred and seven + sixty-four thousand, five hundred and seventy =  six hundred twenty-seven thousand, eight hundred and seventy-seven 
sixty-six thousand, five hundred and fifty-three + ninety-seven thousand, six hundred and fifty-nine =  Answer= one million seven hundred and twenty-eight thousand two hundred and ten. 
twenty-nine thousand, five hundred and fifteen + ninety-one thousand, one hundred and fifty-two =  Answer= thirty-nine million, six hundred and sixty-three thousand, six hundred and fifty-two. 
eighty-four thousand, three hundred and eighteen + thirty-six thousand, one hundred and eighty-six =  Answer= one hundred and twenty-one million, four hundred and ten. 
ninety-one thousand, one hundred and seven + forty-two thousand, six hundred and fifty-seven =  Answer= four hundred and thirty-three thousand, seven hundred and twenty-seven  
fifty-six thousand, three hundred and forty-six + forty-one thousand, nine hundred and eighty-eight =  Answer= one million, two hundred and twenty-seven thousand, seven hundred and thirty-four. 
twenty-one thousand, two hundred and twenty-five + fourteen thousand, three hundred and sixty =  Answer=twenty-five thousand, five hundred and eighty-five. 
sixty-five thousand, two hundred and twenty-three + thirty-nine thousand, two hundred and forty-six =  Answer= one million, five hundred and seventy-four thousand, four hundred and sixty-nine. 
sixty-one thousand, three hundred and seventy-five + twelve thousand, five hundred and forty-nine =  Answer= six hundred and eighty-three thousand, eight hundred and twenty-four. 
fifty-two thousand, five hundred and sixty-eight + seventy-seven thousand, one hundred and fifty-eight =  Answer= two million, seven hundred and eighty-five thousand, six hundred and forty-six. 
twenty-seven thousand, one hundred and fifty-one + thirty thousand, three hundred and fifty-four =  Answer=fifty-eight thousand, four hundred and five. 
sixty-nine thousand, four hundred and sixty-four + sixty-six thousand, nine hundred and twenty-six =  seven hundred and thirty-five thousand, three hundred and eighty-eight 
eleven thousand, three hundred and ninety-eight + eighty-one thousand, one hundred and forty =  Answer = one million, two hundred and seventeen thousand, four hundred and thirty-nine. 
twenty-three thousand, four hundred and eighty-two + twenty-five thousand and thirty-one =  Answer= fifty-eight million, one hundred and seventeen thousand, three hundred and ninety-three  
sixty-eight thousand, seven hundred and thirty-five + twenty-one thousand, seven hundred and ninety-four =  Answer= one million, eighty-nine thousand, four hundred and twenty-nine. 
eighty-eight thousand, six hundred and ninety-six + seventy-five thousand, one hundred =  Answer= nine hundred and sixty-three thousand, seven hundred and ten. 
sixty-eight thousand, six hundred and eighty-eight + ten thousand, one hundred and thirty-six =  seven hundred and ninety-one million, two hundred and twenty-four thousand, four hundred and eighty-eight. 
thirty-two thousand, three hundred and eighty-two + twenty-five thousand, one hundred and fifty =  Answer=fifty-seven million, four hundred and eighty-two thousand, four hundred and fifteen. 
eighty-nine thousand and twenty-eight + twenty-nine thousand, four hundred and forty-three =  Answer= one million two hundred and seventeen thousand seven hundred and sixty-one. 
seventy-eight thousand, three hundred and thirty-one + forty-nine thousand and sixty-one =  eighty-two thousand, three hundred and ninety-two 
ninety-six thousand, three hundred and eighty-nine + seventy-nine thousand and forty-seven =  Answer= one million seven hundred and sixty-five thousand five hundred and thirty-six. 
forty thousand and seventy + forty-one thousand, two hundred and fifty-four =  Answer= eighty-five thousand, nine hundred and twenty-four  
ten thousand, seven hundred and ninety-eight + eighty-six thousand, one hundred and forty-six =  Answer= nine million, five hundred and seventeen thousand, two hundred and thirty-four  
forty-six thousand, nine hundred and sixty-five + seventy-four thousand, two hundred and ninety-four =  Answer= one million four hundred and eighty-nine thousand five hundred and twenty-nine. 
seventy thousand, one hundred and twenty-seven + eighty-three thousand, three hundred and seventy-eight =  seven hundred and ninety-one million, four hundred and fifty-five thousand, five hundred and seventy-eight. 
ninety-eight thousand, six hundred and thirty-eight + ninety-five thousand, three hundred and twenty-nine =  one million two hundred eighty-seven thousand five hundred forty-one 
ninety-seven thousand, three hundred and sixty-two + fifty-four thousand, four hundred =  Answer= one million, two hundred and seventeen thousand, seven hundred and twenty-six. 
eighty-nine thousand, one hundred and eighteen + seventy-two thousand and twenty-eight =  Answer= nine hundred and sixty-one million, seven hundred and ninety-six. 
