2 =  factors = [1, 2] 
7877 =  factors = [1, 3, 9, 27, 33, 69, 7877] 
7879 =  factors = [1, 3, 29, 7879] 
7907 =  factors = [1, 3, 29, 87, 231, 7907] 
7949 =  factors = [1, 2, 3, 6, 9, 18, 36, 7949] 
7993 =  factors = [1, 3, 9, 27, 83, 243, 799] 
8011 =  factors = [1, 7, 19, 43, 8011] 
8059 =  factors = [1, 3, 27, 8059] 
8069 =  factors = [2, 3, 6, 7, 9, 18, 43, 8069] 
8081 =  factors = [1, 7, 49, 8081] 
8093 =  factors = [1, 7, 49, 8093] 
8101 =  factors = [1, 3, 9, 27, 81, 243, 649, 8101] 
8117 =  factors = [1, 3, 9, 27, 81, 243, 639] 
8147 =  factors = [1, 3, 9, 27, 81, 243, 649] 
8171 =  factors = [1, 3, 9, 27, 81, 243, 8171] 
8179 =  factors = [1, 3, 29, 8179] 
8191 =  factors = [1, 7, 49, 8191] 
8209 =  factors = [1, 7, 49, 67, 8209] 
8221 =  factors = [1, 7, 49, 8221] 
8231 =  factors = [1, 3, 9, 27, 8231] 
8243 =  factors = [1, 79, 101, 147, 21, 3, 5, 67, 8243] 
8263 =  factors = [1, 3, 9, 27, 8263] 
8269 =  factors = [1, 7, 49, 8269] 
8287 =  factors = [1, 3, 9, 27, 8287] 
8291 =  factors = [1, 7, 41, 289, 8291] 
8293 =  factors = [1, 7, 41, 289, 8293] 
8311 =  factors = [1, 7, 41, 289, 8311] 
8329 =  factors = [1, 7, 49, 67, 83, 29, 307] 
8353 =  factors = [1, 3, 9, 27, 83, 246, 8353] 
8363 =  factors = [1, 79, 23, 347, 8363] 
8369 =  factors = [1, 7, 49, 8369] 
8429 =  factors = [1, 7, 61, 427, 8429] 
8431 =  factors = [1, 79, 23, 3 * 3 * 3 * 3] 
8443 =  factors = [1, 79, 23, 323] 
8461 =  factors = [1, 7, 29, 37, 8461] 
8467 =  factors = [1, 3, 9, 27, 8467] 
8501 =  factors = [1, 3, 9, 27, 8501] 
8513 =  factors = [1, 79, 101, 147, 213, 8513] 
8521 =  factors = [1, 7, 49, 343, 249, 1773, 12393] 
8543 =  factors = [1, 79, 23, 323, 8543] 
8563 =  factors = [1, 3, 9, 27, 8563] 
8573 =  factors = [1, 3, 9, 27, 8573] 
8599 =  factors = [1, 3, 9, 27, 8599] 
8609 =  factors = [1, 7, 49, 8609] 
8623 =  factors = [1, 3, 9, 27, 8623] 
8627 =  factors = [1, 3, 9, 27, 8627] 
8647 =  factors = [1, 3, 9, 27, 8647] 
8663 =  factors = [1, 3, 9, 27, 8663] 
8681 =  factors = [1, 7, 49, 8681] 
8689 =  factors = [1, 7, 49, 8689] 
8693 =  factors = [1, 3, 27, 8693] 
8713 =  factors = [1, 3, 9, 27, 8713] 
8719 =  factors = [1, 3, 29, 8719] 
8747 =  factors = [1, 3, 29, 8747] 
8753 =  factors = [1, 3, 9, 27, 87, 261, 843] 
8803 =  factors = [1, 3, 9, 27, 8803] 
8819 =  factors = [1, 7, 49, 8819] 
8831 =  factors = [1, 7, 49, 8831] 
8837 =  factors = [1, 3, 9, 27, 8837] 
8849 =  factors = [1, 7, 61, 427, 8849] 
8861 =  factors = [1, 3, 9, 27, 8861] 
8951 =  factors = [1, 3, 27, 8951] 
8963 =  factors = [1, 7, 23, 47, 8963] 
8969 =  factors = [1, 7, 49, 8969] 
8971 =  factors = [1, 3, 29, 8971] 
8999 =  factors = [1, 7, 63, 8999] 
9007 =  factors = [1, 3, 23, 69, 9007] 
9013 =  factors = [1, 7, 49, 9013] 
9029 =  factors = [1, 7, 49, 9029] 
9049 =  factors = [1, 7, 49, 9049] 
9067 =  factors = [1, 3, 23, 9067] 
9091 =  factors = [1, 7, 49, 9091] 
9109 =  factors = [1, 7, 49, 9109] 
9133 =  factors = [1, 7, 49, 9133] 
9151 =  factors = [1, 3, 9, 27, 81, 243, 9151] 
9157 =  factors = [1, 3, 29, 87, 2463, 9157] 
9161 =  factors = [1, 2, 4, 8, 16, 32, 64, 9161] 
9187 =  factors = [1, 3, 29, 43, 69, 91, 183] 
9199 =  factors = [1, 7, 49, 9199] 
9203 =  factors = [1, 3, 9, 27, 81, 243, 9203] 
9209 =  factors = [1, 7, 49, 67, 9209] 
9221 =  factors = [1, 7, 49, 98, 609, 9221] 
9227 =  factors = [1, 3, 9, 27, 869, 2493, 9227] 
9257 =  factors = [1, 3, 25, 689, 9257] 
9283 =  factors = [1, 7, 49, 9283] 
9311 =  factors = [1, 7, 41, 289, 9311] 
9319 =  factors = [1, 7, 41, 289, 9319] 
9337 =  factors = [1, 3, 29, 4863] 
9341 =  factors = [1, 7, 41, 289, 9341] 
9397 =  factors = [1, 3, 29, 9397] 
9403 =  factors = [1, 7, 23, 43, 9403] 
9419 =  factors = [1, 7, 61, 427, 9419] 
9421 =  factors = [1, 7, 13, 91, 65, 49, 37, 29, 23, 19] 
9433 =  factors = [1, 7, 23, 43, 9433] 
9473 =  factors = [1, 3, 29, 869, 9473] 
9497 =  factors = [1, 3, 29, 89, 233, 9497] 
9511 =  factors = [1, 3, 7, 21, 43, 9511] 
9539 =  factors = [1, 3, 9, 27, 81, 243, 953] 
9551 =  factors = [1, 3, 7, 21, 49, 9551] 
9613 =  factors = [1, 7, 49, 9613] 
9619 =  factors = [1, 7, 49, 9619] 
9623 =  factors = [1, 7, 49, 98, 196, 294, 589, 9623] 
9631 =  factors = [1, 7, 49, 9631] 
9643 =  factors = [1, 2, 3, 4, 6, 8, 12, 16, 24, 32, 48, 96] 
9649 =  factors = [2, 4, 8, 16, 32, 9649] 
9679 =  factors = [1, 3, 29, 843, 9679] 
9689 =  factors = [1, 2, 4, 7, 14, 23, 46, 92, 184, 368, 9689] 
9719 =  factors = [1, 3, 29, 87, 293, 9719] 
9733 =  factors = [1, 3, 9, 27, 81, 243, 9733] 
9739 =  factors = [1, 3, 9, 27, 81, 243, 9739] 
9743 =  factors = [1, 3, 29, 891, 9743] 
9749 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 97] 
9769 =  factors = [1, 3, 9, 27, 81, 243, 9769] 
9787 =  factors = [1, 3, 29, 9787] 
9811 =  factors = [1, 7, 47, 9811] 
9817 =  factors = [1, 3, 29, 47, 9817] 
9833 =  factors = [1, 3, 9, 27, 33, 99, 399] 
9839 =  factors = [1, 7, 49, 9839] 
9859 =  factors = [1, 3, 27, 9859] 
9887 =  factors = [1, 3, 29, 47, 9887] 
9901 =  factors = [1, 7, 49, 98, 196, 392, 588, 9901] 
9931 =  factors = [1, 7, 41, 289, 9931] 
9941 =  factors = [1, 7, 41, 9941] 
9967 =  factors = [1, 3, 23, 89, 299, 9967] 
10007 =  factors = [1, 3, 29, 61, 183, 349, 517, 10007] 
10037 =  factors = [1, 3, 29, 61, 183, 347, 519] 
10061 =  factors = [1, 3, 9, 27, 81, 243, 613] 
10093 =  factors = [1, 7, 41, 289, 10093] 
10111 =  factors = [1, 3, 9, 27, 83, 243, 729] 
10133 =  factors = [1, 7, 49, 10133] 
10139 =  factors = [1, 7, 49, 10139] 
10141 =  factors = [1, 7, 19, 29, 37, 101, 107, 143, 157] 
10169 =  factors = [1, 7, 49, 10169] 
10177 =  factors = [1, 3, 9, 27, 81, 243, 729] 
10243 =  factors = [1, 79, 101, 1023, 10243] 
10247 =  factors = [1, 3, 9, 27, 81, 243, 729] 
10253 =  factors = [1, 3, 9, 27, 81, 243, 729] 
10267 =  factors = [1, 3, 9, 19, 38, 57, 10267] 
10271 =  factors = [1, 3, 9, 27, 81, 243, 729] 
10289 =  factors = [1, 7, 49, 10289] 
10303 =  factors = [1, 3, 9, 10303] 
10321 =  factors = [1, 7, 49, 103, 789] 
10331 =  factors = [1, 79, 101, 143, 709, 10331] 
10333 =  factors = [1, 3, 9, 10333] 
10357 =  factors = [1, 3, 29, 84, 269, 10357] 
10391 =  factors = [1, 7, 41, 289, 10391] 
10429 =  factors = [1, 7, 49, 10429] 
10457 =  factors = [1, 3, 29, 869, 10457] 
10459 =  factors = [1, 7, 49, 10459] 
10477 =  factors = [1, 3, 9, 27, 81, 243, 729] 
10487 =  factors = [1, 2, 3, 6, 9, 18, 36, 54, 10487] 
10499 =  factors = [2, 7, 13, 19, 38, 57, 76, 103, 1049] 
10559 =  factors = [1, 3, 27, 82, 246, 735, 2195] 
10589 =  factors = [1, 7, 49, 10589] 
10607 =  factors = [1, 3, 29, 843, 10607] 
10613 =  factors = [1, 7, 49, 10613] 
10631 =  factors = [1, 7, 49, 10631] 
10639 =  factors = [1, 7, 49, 10639] 
10651 =  factors = [1, 3, 9, 27, 81, 243, 729] 
10657 =  factors = [1, 3, 29, 89, 239, 10657] 
10687 =  factors = [1, 29, 48, 97, 194, 388, 576, 10687] 
10709 =  factors = [1, 3, 29, 83, 249, 10709] 
10729 =  factors = [1, 3, 9, 27, 81, 243, 729] 
10739 =  factors = [1, 3, 29, 83, 249, 10739] 
10771 =  factors = [1, 3, 9, 27, 81, 243, 729] 
10831 =  factors = [1, 79, 107, 143, 769, 10831] 
10837 =  factors = [1, 3, 9, 27, 33, 69, 81, 10837] 
10853 =  factors = [1, 3, 9, 27, 81, 243, 729] 
10859 =  factors = [1, 3, 27, 43, 10859] 
10861 =  factors = [1, 7, 49, 10861] 
10867 =  factors = [1, 3, 9, 27, 81, 243, 729] 
10891 =  factors = [1, 7, 49, 10891] 
10909 =  factors = [1, 7, 49, 10909] 
10937 =  factors = [1, 3, 29, 83, 249, 10937] 
10957 =  factors = [1, 3, 29, 89, 233, 461, 10957] 
10973 =  factors = [1, 3, 29, 83, 249, 10973] 
10979 =  factors = [1, 3, 29, 89, 233, 10979] 
11003 =  factors = [1, 3, 9, 27, 33, 11003] 
11027 =  factors = [1, 3, 9, 27, 81, 243, 11027] 
11071 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11083 =  factors = [1, 7, 49, 11083] 
11093 =  factors = [1, 7, 49, 11093] 
11117 =  factors = [1, 3, 9, 27, 82, 246, 11117] 
11171 =  factors = [1, 3, 9, 27, 83, 249, 11171] 
11197 =  factors = [1, 3, 29, 87, 2603] 
11213 =  factors = [1, 3, 9, 13, 39, 47, 11213] 
11251 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11257 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11273 =  factors = [1, 3, 9, 13, 39, 47, 11273] 
11279 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11287 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11299 =  factors = [1, 7, 49, 67, 803, 11299] 
11311 =  factors = [1, 3, 9, 27, 81, 11311] 
11317 =  factors = [1, 3, 9, 27, 81, 243, 11317] 
11321 =  factors = [1, 7, 49, 67, 809, 11321] 
11329 =  factors = [1, 7, 41, 289, 11329] 
11351 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11353 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11423 =  factors = [1, 79, 109, 867, 11423] 
11443 =  factors = [1, 3, 9, 27, 81, 243, 11443] 
11467 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 11467] 
11471 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11489 =  factors = [1, 7, 49, 623, 11489] 
11491 =  factors = [1, 7, 49, 11491] 
11503 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11519 =  factors = [1, 3, 9, 27, 81, 243, 11519] 
11527 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11551 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11587 =  factors = [1, 3, 9, 27, 81, 243, 11587] 
11597 =  factors = [1, 3, 29, 89, 233, 461, 11597] 
11621 =  factors = [1, 7, 49, 11621] 
11633 =  factors = [1, 3, 9, 11, 13, 17, 23, 33, 39, 43, 59, 87, 113, 161, 179, 209, 233, 307, 373] 
11657 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11689 =  factors = [1, 7, 49, 11689] 
11717 =  factors = [1, 3, 9, 27, 82, 246, 11717] 
11719 =  factors = [1, 3, 61, 11719] 
11777 =  factors = [1, 3, 9, 27, 83, 249, 11777] 
11801 =  factors = [1, 3, 9, 27, 33, 99, 117, 357] 
11827 =  factors = [1, 3, 9, 27, 81, 243, 11827] 
11831 =  factors = [1, 79, 11, 13, 17, 23, 37, 43, 61, 73, 89] 
11833 =  factors = [1, 3, 9, 11, 13, 19, 27, 33, 39, 43, 59, 63, 77, 83, 97] 
11863 =  factors = [1, 2, 3, 4, 6, 9, 18, 37, 54, 11863] 
11867 =  factors = [1, 2, 3, 6, 9, 18, 34, 51, 102, 11867] 
11887 =  factors = [1, 3, 9, 27, 33, 69, 101, 11887] 
11909 =  factors = [1, 7, 49, 627, 11909] 
11923 =  factors = [1, 7, 41, 289, 11923] 
11927 =  factors = [1, 3, 9, 27, 81, 243, 11927] 
11933 =  factors = [1, 7, 41, 289, 11933] 
11939 =  factors = [1, 7, 41, 289, 11939] 
11941 =  factors = [1, 7, 49, 623, 11941] 
11953 =  factors = [1, 3, 9, 27, 81, 243, 729] 
11971 =  factors = [1, 3, 61, 11971] 
11981 =  factors = [1, 7, 49, 623, 11981] 
12011 =  factors = [1, 7, 69, 483, 12011] 
12043 =  factors = [1, 3, 9, 13, 39, 47, 12043] 
12073 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12101 =  factors = [1, 7, 19, 43, 121, 867, 12101] 
12107 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12119 =  factors = [1, 7, 41, 89, 12119] 
12157 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12161 =  factors = [1, 7, 49, 121, 843, 12161] 
12203 =  factors = [1, 3, 9, 13, 39, 47, 12203] 
12239 =  factors = [1, 3, 9, 13, 19, 27, 36, 45, 69, 81, 12239] 
12241 =  factors = [1, 7, 19, 133, 989, 12241] 
12263 =  factors = [1, 79, 101, 1489, 12263] 
12289 =  factors = [1, 7, 49, 67, 12289] 
12301 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12323 =  factors = [1, 3, 9, 11, 13, 33, 39, 47, 61, 99, 123] 
12329 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12343 =  factors = [1, 3, 9, 13, 39, 47, 143] 
12347 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12377 =  factors = [1, 3, 9, 109, 323, 12377] 
12391 =  factors = [1, 7, 41, 289, 12391] 
12413 =  factors = [1, 7, 9, 13, 19, 23, 29, 31, 37, 43, 59, 67, 83, 109, 127] 
12433 =  factors = [1, 3, 9, 13, 37, 43, 1243] 
12437 =  factors = [1, 3, 9, 13, 19, 27, 33, 39, 59, 87, 12437] 
12457 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12511 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12527 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12569 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12583 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12589 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12601 =  factors = [1, 7, 49, 12601] 
12613 =  factors = [1, 7, 9, 49, 63, 12613] 
12619 =  factors = [1, 7, 49, 12619] 
12637 =  factors = [1, 3, 9, 13, 19, 27, 33, 43, 59, 87, 12637] 
12641 =  factors = [1, 7, 19, 12641] 
12689 =  factors = [1, 7, 49, 67, 12689] 
12697 =  factors = [1, 3, 9, 19, 27, 33, 41, 59, 87, 12697] 
12713 =  factors = [1, 3, 9, 13, 39, 47, 12713] 
12721 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12739 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12743 =  factors = [1, 3, 9, 13, 39, 47, 12743] 
12791 =  factors = [1, 3, 61, 12791] 
12823 =  factors = [1, 7, 49, 641, 12823] 
12841 =  factors = [1, 7, 49, 64, 128, 323, 502] 
12853 =  factors = [1, 3, 9, 17, 27, 43, 69, 83, 12853] 
12893 =  factors = [1, 7, 49, 641, 12893] 
12917 =  factors = [1, 3, 61, 12917] 
12919 =  factors = [1, 7, 49, 67, 12919] 
12923 =  factors = [1, 7, 49, 67, 12923] 
12959 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12967 =  factors = [1, 3, 9, 27, 81, 243, 729] 
12973 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13001 =  factors = [1, 3, 9, 27, 81, 243, 613] 
13003 =  factors = [1, 3, 9, 13, 19, 27, 33, 43, 59, 87, 13003] 
13033 =  factors = [1, 3, 9, 13, 19, 27, 33, 43, 59, 87, 1303] 
13037 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13049 =  factors = [1, 7, 49, 13049] 
13063 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 13063] 
13121 =  factors = [1, 3, 9, 13, 19, 37, 51, 131, 193, 347] 
13127 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13151 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13159 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13163 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 257] 
13183 =  factors = [1, 3, 9, 27, 33, 131, 133, 199] 
13187 =  factors = [1, 3, 9, 27, 33, 131, 133, 401, 13187] 
13219 =  factors = [1, 7, 49, 683, 13219] 
13241 =  factors = [1, 7, 19, 38, 63, 13241] 
13249 =  factors = [1, 7, 49, 641, 13249] 
13259 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13297 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13309 =  factors = [1, 7, 49, 623, 13309] 
13327 =  factors = [1, 3, 9, 27, 81, 243, 613] 
13339 =  factors = [1, 3, 9, 27, 33, 43, 69, 87, 13339] 
13399 =  factors = [1, 7, 41, 289, 13399] 
13451 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13457 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13463 =  factors = [1, 2, 3, 6, 9, 18, 27, 54, 81, 13463] 
13469 =  factors = [1, 2, 3, 6, 7, 9, 18, 27, 36, 54, 81, 13469] 
13477 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13487 =  factors = [1, 2, 3, 6, 9, 18, 32, 51, 102, 153, 304, 456, 709, 1018] 
13513 =  factors = [1, 3, 9, 13, 19, 27, 33, 41, 59, 87, 13513] 
13523 =  factors = [1, 3, 9, 13, 27, 39, 47, 63, 81, 129, 13523] 
13553 =  factors = [1, 3, 9, 13553] 
13567 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13577 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13597 =  factors = [1, 3, 29, 89, 233, 461, 13597] 
13613 =  factors = [1, 7, 49, 13613] 
13627 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13649 =  factors = [1, 2, 4, 7, 14, 28, 31, 56, 102, 13649] 
13681 =  factors = [1, 7, 49, 324, 13681] 
13691 =  factors = [1, 7, 49, 323, 2489, 13691] 
13693 =  factors = [1, 7, 49, 323, 13693] 
13697 =  factors = [1, 3, 29, 89, 233, 461, 13697] 
13709 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13711 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13721 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13751 =  factors = [1, 3, 9, 27, 81, 243, 729] 
13789 =  factors = [1, 3, 9, 27, 33, 40, 69, 87, 13789] 
13831 =  factors = [1, 7, 49, 349, 2493, 13831] 
13859 =  factors = [1, 3, 9, 27, 33, 40, 69, 87, 13859] 
13877 =  factors = [1, 3, 9, 27, 33, 13877] 
13901 =  factors = [1, 7, 49, 623, 13901] 
13903 =  factors = [1, 3, 9, 27, 33, 99, 139] 
13907 =  factors = [1, 3, 29, 89, 233, 461, 13907] 
13921 =  factors = [1, 7, 49, 347, 2489] 
13933 =  factors = [1, 3, 9, 13, 19, 27, 33, 43, 59, 87, 139] 
13997 =  factors = [1, 3, 23, 43, 69, 83, 13997] 
13999 =  factors = [1, 7, 49, 98, 139, 1007, 1399] 
14009 =  factors = [1, 7, 49, 627, 14009] 
14029 =  factors = [1, 7, 49, 67, 14029] 
14033 =  factors = [1, 3, 9, 17, 27, 51, 83, 1403] 
14071 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14143 =  factors = [1, 7, 29, 14143] 
14149 =  factors = [1, 7, 49, 141, 983, 14149] 
14153 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14173 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14197 =  factors = [1, 3, 9, 27, 81, 243, 619] 
14207 =  factors = [1, 3, 9, 27, 81, 243, 613] 
14251 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14281 =  factors = [1, 7, 19, 43, 67, 129, 14281] 
14303 =  factors = [1, 3, 9, 27, 81, 243, 619] 
14321 =  factors = [1, 3, 9, 27, 81, 243, 619] 
14323 =  factors = [1, 3, 9, 17, 27, 51, 83, 143] 
14327 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14401 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14431 =  factors = [1, 7, 29, 37, 109, 2187] 
14479 =  factors = [1, 3, 23, 863, 14479] 
14489 =  factors = [1, 2, 3, 6, 7, 9, 18, 27, 54, 81, 144] 
14503 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14519 =  factors = [1, 3, 67, 2083, 14519] 
14533 =  factors = [1, 3, 9, 13, 19, 27, 33, 39, 47, 61, 83, 129, 145] 
14537 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14543 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14551 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14557 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14563 =  factors = [1, 3, 9, 17, 27, 51, 81, 14563] 
14591 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14593 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14627 =  factors = [1, 3, 9, 19, 27, 38, 57, 81, 14627] 
14633 =  factors = [1, 3, 9, 10, 13, 27, 30, 39, 51, 87, 14633] 
14639 =  factors = [1, 7, 49, 623, 14639] 
14653 =  factors = [1, 3, 9, 17, 27, 51, 83, 14653] 
14657 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14683 =  factors = [1, 7, 29, 43, 98, 14683] 
14723 =  factors = [1, 3, 9, 13, 19, 27, 33, 39, 51, 61, 83, 147] 
14731 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14737 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14741 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14753 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14767 =  factors = [1, 29, 3, 108, 14767] 
14771 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14783 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14813 =  factors = [1, 7, 29, 14813] 
14821 =  factors = [1, 7, 19, 43, 67, 14821] 
14827 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14831 =  factors = [1, 7, 29, 37, 14831] 
14879 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14887 =  factors = [1, 3, 9, 27, 81, 243, 729] 
14923 =  factors = [1, 3, 9, 17, 27, 51, 83, 149] 
14947 =  factors = [1, 3, 23, 83, 269, 403, 14947] 
14957 =  factors = [1, 3, 29, 89, 233, 609, 14957] 
14983 =  factors = [1, 7, 23, 163, 1099, 14983] 
15017 =  factors = [1, 3, 9, 27, 81, 243, 729] 
15073 =  factors = [1, 3, 9, 27, 81, 243, 729] 
15077 =  factors = [1, 3, 29, 87, 233, 15077] 
15101 =  factors = [1, 3, 9, 27, 83, 249, 733] 
15107 =  factors = [1, 3, 9, 27, 81, 15107] 
15121 =  factors = [1, 7, 11, 13, 17, 91, 151] 
15161 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 1516] 
15173 =  factors = [1, 3, 9, 17, 27, 51, 15173] 
15193 =  factors = [1, 3, 7, 21, 43, 15193] 
15233 =  factors = [1, 3, 9, 17, 51, 15233] 
15263 =  factors = [1, 3, 9, 17, 51, 15263] 
15269 =  factors = [1, 7, 49, 15269] 
15277 =  factors = [1, 3, 9, 27, 81, 243, 729] 
15287 =  factors = [1, 3, 9, 27, 81, 243, 729] 
15289 =  factors = [1, 7, 49, 641, 15289] 
15307 =  factors = [1, 3, 9, 27, 81, 243, 729] 
15313 =  factors = [1, 3, 9, 13, 19, 27, 33, 43, 69, 87, 153] 
15319 =  factors = [1, 3, 9, 27, 81, 15319] 
15329 =  factors = [1, 7, 49, 58, 364, 15329] 
15349 =  factors = [1, 7, 49, 15349] 
15359 =  factors = [1, 3, 9, 27, 81, 243, 729] 
15361 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096] 
15377 =  factors = [1, 3, 29, 869, 15377] 
15383 =  factors = [1, 3, 9, 27, 33, 51, 15383] 
15401 =  factors = [1, 79, 15401] 
15413 =  factors = [1, 3, 9, 13, 19, 27, 33, 43, 69, 87, 15413] 
15443 =  factors = [1, 3, 9, 17, 27, 51, 81, 15443] 
15461 =  factors = [1, 7, 13, 91, 15461] 
15467 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 108, 15467] 
15473 =  factors = [1, 3, 9, 27, 81, 243, 729] 
15511 =  factors = [1, 3, 9, 27, 81, 15511] 
15541 =  factors = [1, 7, 49, 582, 15541] 
15559 =  factors = [1, 3, 9, 27, 81, 15559] 
15581 =  factors = [1, 7, 49, 567, 15581] 
15583 =  factors = [1, 3, 9, 27, 54, 15583] 
15629 =  factors = [1, 7, 49, 15629] 
15641 =  factors = [1, 7, 13, 91, 15641] 
15643 =  factors = [1, 79, 15643] 
15661 =  factors = [1, 3, 9, 17, 51, 15661] 
15671 =  factors = [1, 3, 9, 27, 81, 15671] 
15679 =  factors = [1, 3, 9, 27, 81, 15679] 
15731 =  factors = [1, 3, 9, 27, 81, 15731] 
15733 =  factors = [1, 3, 9, 109, 15733] 
15739 =  factors = [1, 3, 9, 27, 81, 15739] 
15761 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192] 
15787 =  factors = [1, 3, 29, 47, 15787] 
15791 =  factors = [1, 3, 61, 15791] 
15797 =  factors = [1, 3, 29, 89, 15797] 
15809 =  factors = [1, 7, 49, 627, 15809] 
15817 =  factors = [1, 3, 9, 27, 51, 15817] 
15859 =  factors = [1, 3, 9, 27, 54, 15859] 
15877 =  factors = [1, 3, 29, 47, 15877] 
15881 =  factors = [1, 7, 49, 627, 15881] 
15901 =  factors = [1, 7, 49, 15901] 
15919 =  factors = [1, 7, 49, 15919] 
15971 =  factors = [1, 3, 29, 89, 159, 1597] 
15973 =  factors = [1, 3, 9, 27, 81, 15973] 
15991 =  factors = [1, 7, 49, 15991] 
16001 =  factors = [1, 3, 9, 27, 81, 243, 613] 
16061 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 16061] 
16067 =  factors = [1, 2, 3, 6, 9, 18, 37, 54, 16067] 
16087 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 256, 4096] 
16091 =  factors = [1, 7, 49, 623, 16091] 
16097 =  factors = [1, 3, 29, 87, 249, 16097] 
16103 =  factors = [1, 3, 9, 27, 81, 243, 613] 
16127 =  factors = [1, 3, 9, 27, 81, 243, 16127] 
16139 =  factors = [1, 7, 49, 627, 16139] 
16183 =  factors = [1, 3, 9, 17, 27, 51, 16183] 
16187 =  factors = [1, 3, 9, 27, 16187] 
16189 =  factors = [1, 7, 49, 16189] 
16193 =  factors = [1, 3, 7, 21, 43, 16193] 
16217 =  factors = [1, 3, 9, 17, 51, 16217] 
16339 =  factors = [1, 3, 9, 27, 81, 16339] 
16363 =  factors = [1, 2, 4, 8, 16, 32, 64, 128, 257] 
16427 =  factors = [1, 3, 9, 27, 81, 243, 16427] 
